,危险品名称,分子式,相对分子质量,CAS,有害物成分,外观与性状,PH值,熔点,沸点,相对密度,相对蒸汽密度,饱和蒸汽压,临界温度,临界压力,LogP,闪点,引燃温度,燃烧热,爆炸下限,爆炸上限,溶解性,主要用途,稳定性
0,4-氯硝基苯,None,None,100-00-5,None,纯品为浅黄色单斜棱形晶体。,None,83,242,1.52(水=1),5.43(空气=1),0.03/38℃(kPa),None,None,None,127,None,None,None,None,不溶于水，微溶于乙醇、乙醚、二硫化碳。,用作染料中间体及制药。,None
1,对硝基苯胺,C6H6N2O2,138.14,100-01-6,对硝基苯胺,黄色结晶或粉末,无意义,146～148,332,1.42(水=1),4.77(空气=1),0.13(142.4℃)(kPa),None,4.42,1.39,199(闭杯),180,-3191,1.5,9.8,不溶于水，微溶于苯，溶于乙醇、乙醚、丙酮、甲醇,用作染料及抗氧剂的中间体，腐蚀抑制剂，分析试剂,稳定
2,对硝基苯酚,C6H5NO3,139.12,100-02-7,对硝基苯酚,无色至淡黄色结晶粉末，有似苦杏仁的气味,无意义,113～115,279(分解),1.27(水=1),无资料(空气=1),0.92(16℃)(kPa),None,无资料,1.91,192,283,-2879.2,无资料,无资料,溶于热水、乙醇、乙醚、氯仿,用于染料制造，药物制造及用作试剂,稳定
3,甲氧基苯甲酰氯,None,None,100-07-2,None,淡黄色液体。,None,22,145/1.87kPa,None,None,1.87/145℃(kPa),None,None,None,87,None,None,None,None,无资料。,用于有机合成。,None
4,4-硝基溴化苄,C7H6BrNO2,216.03,100-11-8,4-硝基溴化苄,白色或浅黄色针状结晶，有催泪性,无意义,98～100,无资料,无资料(水=1),无资料(空气=1),None,None,无资料,无资料,>100,无资料,None,无资料,无资料,不溶于水，溶于乙醇、乙醚等多数有机溶剂,用作有机分析试剂、染料中间体,稳定
5,4-硝基乙苯,C8H9NO2,151.16,100-12-9,4-硝基乙苯,无色油状液体,无资料,-12.3,245～246,1.12(水=1),无资料(空气=1),3.06(135℃)(kPa),None,无资料,3.03,>112,无资料,None,无资料,无资料,不溶于水，溶于乙醇、乙醚等多数有机溶剂,用于有机合成,稳定
6,4-硝基氯(化)苄,None,None,100-14-1,None,白色针状结晶，有催泪性。,None,71,None,None,None,None,None,None,None,None,None,None,None,None,不溶于水，溶于乙醇、乙醚，易溶于丙酮、苯。,用作化学试剂及用于有机合成。,None
7,4-硝基苯肼,C6H7N3O2,153.14,100-16-3,4-硝基苯肼,橙黄色结晶粉末,无意义,156(分解),无资料,无资料(水=1),无资料(空气=1),None,None,无资料,1.41,无意义,无资料,None,无资料,无资料,微溶于水，溶于热水、热苯、乙醇、乙醚、氯仿、乙酸乙酯,用作检验酮、醛和糖等的试剂,稳定
8,4-硝基苯甲醚,C7H7NO3,153.15,100-17-4,4-硝基苯甲醚,无色至浅黄色结晶,无意义,54,260,1.233(水=1),5.29(空气=1),None,None,无资料,2.03,130,无资料,None,无资料,无资料,不溶于水，溶于乙醇、乙醚等多数有机溶剂,用作有机合成中间体,稳定
9,对苯二甲酰氯,C8H4Cl2O2,203.02,100-20-9,对苯二甲酰氯,白色固体或无色针状晶体,无意义,82～84,266,无资料(水=1),7.0(空气=1),0.01(38℃)(kPa),None,无资料,0.88,180(开杯),无资料,None,无资料,无资料,溶于乙醚,用于有机合成,稳定
