,CAS,储存注意事项
0,100-00-5,储存于阴凉、通风的库房
1,100-00-5,远离火种、热源
2,100-00-5,应与氧化剂、还原剂、碱类、食用化学品分开存放，切忌混储
3,100-00-5,配备相应品种和数量的消防器材
4,100-00-5,储区应备有合适的材料收容泄漏物
5,100-01-6,储存于阴凉、通风的库房
6,100-01-6,远离火种、热源
7,100-01-6,包装密封
8,100-01-6,应与氧化剂、酸类、食用化学品分开存放，切忌混储
9,100-01-6,配备相应品种和数量的消防器材
10,100-01-6,储区应备有合适的材料收容泄漏物
11,100-02-7,储存于阴凉、通风的库房
12,100-02-7,远离火种、热源
13,100-02-7,包装密封
14,100-02-7,应与氧化剂、还原剂、碱类、食用化学品分开存放，切忌混储
15,100-02-7,采用防爆型照明、通风设施
16,100-02-7,禁止使用易产生火花的机械设备和工具
17,100-02-7,储区应备有合适的材料收容泄漏物
18,100-07-2,储存于阴凉、干燥、通风良好的库房
19,100-07-2,远离火种、热源
20,100-07-2,保持容器密封
21,100-07-2,应与氧化剂、碱类等分开存放，切忌混储
22,100-07-2,配备相应品种和数量的消防器材
23,100-07-2,储区应备有泄漏应急处理设备和合适的收容材料
24,100-11-8,储存于阴凉、干燥、通风良好的库房
25,100-11-8,远离火种、热源
26,100-11-8,包装必须密封，切勿受潮
27,100-11-8,应与氧化剂、还原剂、碱类、胺类、醇类、食用化学品分开存放，切忌混储
28,100-11-8,配备相应品种和数量的消防器材
29,100-11-8,储区应备有合适的材料收容泄漏物
30,100-12-9,储存于阴凉、通风的库房
31,100-12-9,远离火种、热源
32,100-12-9,保持容器密封
33,100-12-9,应与氧化剂、还原剂、酸类、碱类、食用化学品分开存放，切忌混储
34,100-12-9,配备相应品种和数量的消防器材
35,100-12-9,储区应备有泄漏应急处理设备和合适的收容材料
36,100-14-1,储存于阴凉、干燥、通风良好的库房
37,100-14-1,远离火种、热源
38,100-14-1,保持容器密封
39,100-14-1,应与氧化剂、碱类等分开存放，切忌混储
40,100-14-1,配备相应品种和数量的消防器材
41,100-14-1,储区应备有合适的材料收容泄漏物
42,100-16-3,储存于阴凉、通风的库房
43,100-16-3,远离火种、热源
44,100-16-3,包装密封
45,100-16-3,应与氧化剂、还原剂、酸类、食用化学品分开存放，切忌混储
46,100-16-3,配备相应品种和数量的消防器材
47,100-16-3,储区应备有合适的材料收容泄漏物
48,100-17-4,储存于阴凉、通风的库房
49,100-17-4,远离火种、热源
50,100-17-4,包装密封
51,100-17-4,应与氧化剂、还原剂、酸类、碱类、食用化学品分开存放，切忌混储
52,100-17-4,配备相应品种和数量的消防器材
53,100-17-4,储区应备有合适的材料收容泄漏物
54,100-20-9,储存于阴凉、干燥、通风良好的库房
55,100-20-9,远离火种、热源
56,100-20-9,包装必须密封，切勿受潮
57,100-20-9,应与氧化剂、碱类、醇类等分开存放，切忌混储
58,100-20-9,配备相应品种和数量的消防器材
59,100-20-9,储区应备有合适的材料收容泄漏物
60,100-25-4,储存于阴凉、通风的库房
61,100-25-4,远离火种、热源
62,100-25-4,包装密封
63,100-25-4,应与氧化剂、还原剂、碱类、食用化学品分开存放，切忌混储
64,100-25-4,采用防爆型照明、通风设施
65,100-25-4,禁止使用易产生火花的机械设备和工具
66,100-25-4,储区应备有合适的材料收容泄漏物
67,100-28-7,储存于阴凉、干燥、通风良好的库房
68,100-28-7,远离火种、热源
69,100-28-7,包装必须密封，切勿受潮
70,100-28-7,应与氧化剂、酸类、碱类分开存放，切忌混储
71,100-28-7,配备相应品种和数量的消防器材
72,100-28-7,储区应备有合适的材料收容泄漏物
73,100-29-8,储存于阴凉、通风的库房
74,100-29-8,远离火种、热源
75,100-29-8,包装密封
76,100-29-8,应与氧化剂、还原剂、酸类、碱类、食用化学品分开存放，切忌混储
77,100-29-8,配备相应品种和数量的消防器材
78,100-29-8,储区应备有合适的材料收容泄漏物
79,100-35-6,储存于阴凉、通风的库房
80,100-35-6,远离火种、热源
81,100-35-6,防止阳光直射
82,100-35-6,保持容器密封
83,100-35-6,应与氧化剂、食用化学品分开存放，切忌混储
84,100-35-6,配备相应品种和数量的消防器材
85,100-35-6,储区应备有泄漏应急处理设备和合适的收容材料
86,100-36-7,储存于阴凉、通风的库房
87,100-36-7,远离火种、热源
88,100-36-7,库温不宜超过30℃
89,100-36-7,应与氧化剂、酸类分开存放，切忌混储
90,100-36-7,采用防爆型照明、通风设施
91,100-36-7,禁止使用易产生火花的机械设备和工具
92,100-36-7,储区应备有泄漏应急处理设备和合适的收容材料
93,100-37-8,储存于阴凉、通风的库房
94,100-37-8,库温不宜超过37℃
95,100-37-8,远离火种、热源
96,100-37-8,保持容器密封
97,100-37-8,应与氧化剂、酸类、食用化学品分开存放，切忌混储
98,100-37-8,采用防爆型照明、通风设施
99,100-37-8,禁止使用易产生火花的机械设备和工具
100,100-37-8,储区应备有泄漏应急处理设备和合适的收容材料
101,100-39-0,储存于阴凉、通风的库房
102,100-39-0,远离火种、热源
103,100-39-0,保持容器密封
104,100-39-0,应与氧化剂、碱类、胺类、醇类、食用化学品分开存放，切忌混储
105,100-39-0,配备相应品种和数量的消防器材
106,100-39-0,储区应备有泄漏应急处理设备和合适的收容材料
107,100-40-3,通常商品加有阻聚剂
108,100-40-3,储存于阴凉、通风的库房
109,100-40-3,远离火种、热源
110,100-40-3,库温不宜超过30℃
111,100-40-3,应与氧化剂、酸类分开存放，切忌混储
112,100-40-3,不宜大量储存或久存
113,100-40-3,采用防爆型照明、通风设施
114,100-40-3,禁止使用易产生火花的机械设备和工具
115,100-40-3,储区应备有泄漏应急处理设备和合适的收容材料
116,100-41-4,储存于阴凉、通风的库房
117,100-41-4,远离火种、热源
118,100-41-4,库温不宜超过37℃
119,100-41-4,保持容器密封
120,100-41-4,应与氧化剂分开存放，切忌混储
121,100-41-4,采用防爆型照明、通风设施
122,100-41-4,禁止使用易产生火花的机械设备和工具
123,100-41-4,储区应备有泄漏应急处理设备和合适的收容材料
124,100-42-5,通常商品加有阻聚剂
125,100-42-5,储存于阴凉、通风的库房
126,100-42-5,远离火种、热源
127,100-42-5,库温不宜超过37℃
128,100-42-5,包装要求密封，不可与空气接触
129,100-42-5,应与氧化剂、酸类分开存放，切忌混储
130,100-42-5,不宜大量储存或久存
131,100-42-5,采用防爆型照明、通风设施
132,100-42-5,禁止使用易产生火花的机械设备和工具
133,100-42-5,储区应备有泄漏应急处理设备和合适的收容材料
134,100-43-6,通常商品加有阻聚剂
135,100-43-6,储存于阴凉、通风的库房
136,100-43-6,远离火种、热源
137,100-43-6,防止阳光直射
138,100-43-6,库温不宜超过30℃
139,100-43-6,保持容器密封，严禁与空气接触
140,100-43-6,应与氧化剂、酸类、食用化学品分开存放，切忌混储
141,100-43-6,不宜大量储存或久存
142,100-43-6,采用防爆型照明、通风设施
143,100-43-6,禁止使用易产生火花的机械设备和工具
144,100-43-6,储区应备有泄漏应急处理设备和合适的收容材料
145,100-44-7,储存于阴凉、干燥、通风良好的库房
146,100-44-7,远离火种、热源
147,100-44-7,库温不超过30℃，相对湿度不超过70%
148,100-44-7,包装必须密封，切勿受潮
149,100-44-7,应与氧化剂、金属粉末、醇类、食用化学品分开存放，切忌混储
150,100-44-7,配备相应品种和数量的消防器材
151,100-44-7,储区应备有泄漏应急处理设备和合适的收容材料
152,100-46-9,储存于阴凉、通风的库房
153,100-46-9,远离火种、热源
154,100-46-9,应与氧化剂、酸类等分开存放，切忌混储
155,100-46-9,采用防爆型照明、通风设施
156,100-46-9,禁止使用易产生火花的机械设备和工具
157,100-46-9,储区应备有泄漏应急处理设备和合适的收容材料
158,100-47-0,储存于阴凉、通风的库房
159,100-47-0,远离火种、热源
160,100-47-0,保持容器密封
161,100-47-0,应与氧化剂、还原剂、酸类、食用化学品分开存放，切忌混储
162,100-47-0,配备相应品种和数量的消防器材
163,100-47-0,储区应备有泄漏应急处理设备和合适的收容材料
164,100-50-5,储存于阴凉、通风的库房
165,100-50-5,远离火种、热源
166,100-50-5,库温不宜超过30℃
167,100-50-5,应与氧化剂、还原剂、碱类分开存放，切忌混储
168,100-50-5,采用防爆型照明、通风设施
169,100-50-5,禁止使用易产生火花的机械设备和工具
170,100-50-5,储区应备有泄漏应急处理设备和合适的收容材料
171,100-53-8,储存于阴凉、通风的库房
172,100-53-8,远离火种、热源
173,100-53-8,保持容器密封
174,100-53-8,应与氧化剂、碱类、食用化学品分开存放.切忌混储
175,100-53-8,配备相应品种和数量的消防器材
176,100-53-8,储区应备有泄漏应急处理设备和合适的收容材料
177,100-56-1,储存于阴凉、通风的库房
178,100-56-1,远离火种、热源
179,100-56-1,防止阳光直射
180,100-56-1,包装密封
181,100-56-1,应与氧化剂、还原剂、酸类、食用化学品分开存放，切忌混储
182,100-56-1,配备相应品种和数量的消防器材
183,100-56-1,储区应备有合适的材料收容泄漏物
184,100-61-8,储存于阴凉、通风的库房
185,100-61-8,远离火种、热源
186,100-61-8,保持容器密封
187,100-61-8,应与氧化剂、酸类、食用化学品分开存放，切忌混储
188,100-61-8,配备相应品种和数量的消防器材
189,100-61-8,储区应备有泄漏应急处理设备和合适的收容材料
