,CAS,操作注意事项
0,100-00-5,密闭操作，提供充分的局部排风
1,100-00-5,操作人员必须经过专门培训，严格遵守操作规程
2,100-00-5,建议操作人员佩戴自吸过滤式防尘口罩，戴化学安全防护眼镜，穿防毒物渗透工作服，戴橡胶手套
3,100-00-5,远离火种、热源，工作场所严禁吸烟
4,100-00-5,使用防爆型的通风系统和设备
5,100-00-5,避免产生粉尘
6,100-00-5,避免与氧化剂、还原剂、碱类接触
7,100-00-5,搬运时要轻装轻卸，防止包装及容器损坏
8,100-00-5,配备相应品种和数量的消防器材及泄漏应急处理设备
9,100-00-5,倒空的容器可能残留有害物
10,100-01-6,密闭操作，提供充分的局部排风
11,100-01-6,操作人员必须经过专门培训，严格遵守操作规程
12,100-01-6,建议操作人员佩戴自吸过滤式防尘口罩，戴化学安全防护眼镜，穿防毒物渗透工作服，戴橡胶手套
13,100-01-6,远离火种、热源
14,100-01-6,工作场所严禁吸烟
15,100-01-6,使用防爆型的通风系统和设备
16,100-01-6,避免产生粉尘
17,100-01-6,避免与氧化剂、酸类接触
18,100-01-6,搬运时要轻装轻卸，防止包装及容器损坏
19,100-01-6,配备相应品种和数量的消防器材及泄漏应急处理设备
20,100-01-6,倒空的容器可能残留有害物
21,100-02-7,密闭操作，提供充分的局部排风
22,100-02-7,操作人员必须经过专门培训，严格遵守操作规程
23,100-02-7,建议操作人员佩戴头罩型电动送风过滤式防尘呼吸器，穿胶布防毒衣，戴橡胶手套
24,100-02-7,远离火种、热源
25,100-02-7,工作场所严禁吸烟
26,100-02-7,使用防爆型的通风系统和设备
27,100-02-7,避免产生粉尘
28,100-02-7,避免与氧化剂、还原剂、碱类接触
29,100-02-7,搬运时要轻装轻卸，防止包装及容器损坏
30,100-02-7,配备相应品种和数量的消防器材及泄漏应急处理设备
31,100-02-7,倒空的容器可能残留有害物
32,100-07-2,密闭操作，提供充分的局部排风
33,100-07-2,操作人员必须经过专门培训，严格遵守操作规程
34,100-07-2,建议操作人员佩戴自吸过滤式防毒面具（全面罩），穿橡胶耐酸碱服，戴橡胶耐酸碱手套
