,CAS,条件,结果
0,100-00-5,高热,氮氧化物
1,100-00-5,高热,氯化物气体
2,100-01-6,受热,氧化氮烟气
3,100-02-7,空气,爆炸性混合物
4,100-02-7,受热,氧化氮烟气
5,100-11-8,受热,有毒的烟气
6,100-12-9,空气,爆炸性混合物
7,100-12-9,高热,腐蚀性烟气
8,100-14-1,受热,氮氧化物
9,100-14-1,受热,氯化物气体
10,100-16-3,氧化剂,爆炸性混合物
11,100-20-9,受热,腐蚀性烟气
12,100-20-9,水,腐蚀性烟气
13,100-25-4,空气,爆炸性混合物
14,100-25-4,氧化剂,爆炸性混合物
15,100-28-7,水,有毒的气体
16,100-28-7,水蒸气,有毒的气体
17,100-37-8,空气,爆炸性混合物
18,100-39-0,空气,爆炸性混合物
19,100-39-0,高热,溴化物气体
20,100-40-3,空气,爆炸性混合物
21,100-41-4,空气,爆炸性混合物
22,100-41-4,空气,爆炸性混合物
23,100-42-5,空气,爆炸性混合物
24,100-42-5,空气,爆炸性混合物
25,100-44-7,空气,爆炸性混合物
26,100-44-7,高热,腐蚀性烟气
27,100-44-7,铜,热量
28,100-44-7,铝,热量
29,100-44-7,镁,热量
30,100-44-7,锌,热量
31,100-44-7,锡,热量
32,100-44-7,铜,氯化氢气体
33,100-44-7,铝,氯化氢气体
34,100-44-7,镁,氯化氢气体
35,100-44-7,锌,氯化氢气体
36,100-44-7,锡,氯化氢气体
37,100-47-0,空气,爆炸性混合物
38,100-50-5,空气,爆炸性混合物
39,100-50-5,热,酸性烟雾
40,100-53-8,空气,爆炸性混合物
41,100-53-8,高热,硫化物烟气
42,100-56-1,高热,高毒烟气
43,100-61-8,空气,爆炸性混合物
44,100-61-8,受热,有毒烟气
45,100-63-0,空气,爆炸性混合物
46,100-63-0,受热,有毒烟气
47,100-66-3,空气,爆炸性混合物
48,100-69-6,受热,有毒气体
49,100-71-0,空气,爆炸性混合物
50,100-73-2,空气,爆炸性混合物
51,100-74-3,空气,爆炸性混合物
