,CAS,条件,风险
0,100-00-5,高热,分解
1,100-01-6,明火,可燃
2,100-01-6,高热,可燃
3,100-01-6,受热,分解
4,100-01-6,强氧化剂,化学反应
5,100-02-7,明火,燃烧
6,100-02-7,高热,燃烧
7,100-02-7,明火,爆炸
8,100-02-7,高热,爆炸
9,100-02-7,氧化剂,燃烧
10,100-02-7,氧化剂,爆炸
11,100-02-7,受热,分解
12,100-07-2,室温,爆炸
13,100-07-2,明火,燃烧
14,100-07-2,高热,燃烧
15,100-07-2,明火,爆炸
16,100-07-2,高热,爆炸
17,100-07-2,氧化剂,猛烈反应
18,100-11-8,受热,分解
19,100-11-8,强氧化剂,化学反应
20,100-12-9,明火,可燃
21,100-12-9,高热,可燃
22,100-12-9,高热,分解
23,100-12-9,强氧化剂,化学反应
24,100-14-1,强氧化剂,化学反应
25,100-14-1,受热,分解
26,100-16-3,明火,可燃
27,100-16-3,高热,可燃
28,100-16-3,摩擦,燃烧
29,100-16-3,震动,燃烧
30,100-16-3,撞击,燃烧
31,100-16-3,摩擦,爆炸
32,100-16-3,震动,爆炸
33,100-16-3,撞击,爆炸
34,100-17-4,强氧化剂,化学反应
35,100-20-9,明火,可燃
36,100-20-9,高热,可燃
37,100-20-9,受热,分解
38,100-20-9,水,分解
39,100-20-9,受热,放热
40,100-20-9,水,放热
41,100-20-9,强氧化剂,化学反应
42,100-25-4,明火,易燃
43,100-25-4,高热,易燃
44,100-25-4,摩擦,燃烧
45,100-25-4,震动,燃烧
46,100-25-4,撞击,燃烧
47,100-25-4,摩擦,爆炸
48,100-25-4,震动,爆炸
49,100-25-4,撞击,爆炸
50,100-28-7,水,分解
51,100-28-7,水蒸气,分解
52,100-29-8,强氧化剂,化学反应
53,100-35-6,明火,可燃
54,100-35-6,高热,可燃
55,100-35-6,氧化剂,反应
56,100-35-6,火源,着火
57,100-35-6,火源,回燃
58,100-35-6,高热,开裂
59,100-35-6,高热,爆炸
60,100-37-8,高热,燃烧
61,100-37-8,明火,燃烧
62,100-37-8,氧化剂,猛烈反应
63,100-39-0,明火,可燃
64,100-39-0,高热,可燃
65,100-39-0,高热,分解
66,100-39-0,强氧化剂,化学反应
67,100-40-3,明火,燃烧
68,100-40-3,高热,燃烧
69,100-40-3,氧化剂,猛烈反应
70,100-40-3,未知,静电
71,100-40-3,火源,着火
72,100-40-3,火源,回燃
73,100-40-3,高热,开裂
74,100-40-3,高热,爆炸
75,100-41-4,明火,燃烧
76,100-41-4,高热,燃烧
77,100-41-4,明火,爆炸
78,100-41-4,高热,爆炸
79,100-41-4,氧化剂,燃烧
80,100-41-4,氧化剂,爆炸
81,100-41-4,氧化剂,猛烈反应
