,CAS,环境危害
0,100-00-5,对环境有严重危害，对水体可造成污染
1,100-01-6,对水生生物有毒性
2,100-02-7,对水体、土壤和大气可造成污染
3,100-11-8,对环境有害
4,100-12-9,对环境有害
5,100-14-1,对环境有严重危害，对水体可造成污染
6,100-16-3,对环境有害
7,100-17-4,对环境有害
8,100-20-9,对环境有害
9,100-25-4,对水生生物有极高毒性，可能在水生环境中造成长期不利影响
10,100-28-7,对环境有严重危害，对水体可造成污染
11,100-29-8,对环境有害
12,100-35-6,对环境有危害，对水体可造成污染
13,100-37-8,对环境有害
14,100-39-0,对环境有害
15,100-40-3,对环境有危害，对大气可造成污染
16,100-41-4,对水体、土壤和大气可造成污染
17,100-42-5,对水体、土壤和大气可造成污染
18,100-43-6,对环境有危害，对水体可造成污染
19,100-44-7,对水体、土壤和大气可造成污染
20,100-47-0,对水生生物有毒性
21,100-53-8,对环境有害
22,100-56-1,对环境有危害
23,100-61-8,对水生生物有极高毒性，可能在水生环境中造成长期不利影响
24,100-63-0,对水生生物有极高毒性
25,100-66-3,对环境可能有害
26,100-71-0,对环境有危害
27,100-73-2,对环境可能有危害
28,100-97-0,对环境有害
29,100-99-2,对环境有害
30,1002-16-0,对环境可能有害
31,10022-31-8,对水生生物是有毒的
32,10024-97-2,对环境有害
33,10025-68-0,对环境有害
34,10025-78-2,对环境有害
35,10025-87-3,对环境有害
36,10025-91-9,对环境有害
37,10026-04-7,对环境有害
38,10026-11-6,对水生生物有毒性
39,10026-13-8,对环境有害
40,10026-17-2,对环境有危害，对水体可造成污染
41,10031-13-7,对环境有危害，对水体可造成污染
42,10031-18-2,对环境有害
43,10034-81-8,对环境可能有害
44,10034-85-2,对环境有害
45,10035-10-6,对环境有害
46,10038-98-9,对环境有害
47,10045-94-0,对水生生物有极高毒性，可能在水生环境中造成长期不利影响
48,10099-59-9,对环境有害
49,10099-74-8,对环境有害
50,101-25-7,对环境有害
51,101-27-9,对环境有危害
52,101-37-1,对环境有危害
53,101-54-2,对环境可能有危害
54,101-77-9,对环境有危害，对水体可造成污染
55,101-82-6,对环境有危害，对水体可造成污染
56,101-83-7,对水生生物有极高毒性，可能在水生环境中造成长期不利影响
57,10101-50-5,对环境可能有害
58,10102-43-9,对环境有害
59,10102-44-0,对环境有危害，对水体、土壤和大气可造成污染
60,10102-45-1,对环境有危害，对大气可造成污染
61,10102-49-5,对环境有严重危害，对水体可造成污染
62,10103-50-1,对环境有严重危害，对水体可造成污染
63,10108-64-2,对水生生物有极高毒性，可能在水生环境中造成长期不利影响
64,10108-73-3,对环境有害
65,10118-76-0,对环境有害
66,10124-43-3,对环境可能有危害，对水体可造成污染
67,10124-50-2,对水生生物有极高毒性，可能在水生环境中造成长期不利影响
68,10138-60-0,对环境有严重危害，对水体可造成污染
69,10141-05-6,对环境有害
70,10192-29-7,对环境有害
71,102-27-2,对环境有危害，对水体可造成污染
72,102-36-3,对环境有危害
73,102-47-6,对环境有危害，对水体可造成污染
74,102-69-2,对环境有害
75,102-82-9,对环境有害
76,10217-52-4,对水生生物是有害的
77,10241-05-1,对环境有害
78,10265-92-6,对水生生物有极高毒性
79,10290-12-7,对环境有危害，对水体可造成污染
80,10294-33-4,对环境有害
81,10294-34-5,对环境有害
82,103-65-1,对水生生物有毒，可能在水生环境中造成长期不利影响
83,103-69-5,对环境有害
84,103-71-9,对环境有害
85,103-72-0,对环境有害
86,103-80-0,对环境有害
87,103-83-3,对环境有危害
88,1031-47-6,对环境有危害，对水体可造成污染
89,10311-84-9,对环境有危害，对水体可造成污染
90,10325-94-7,对环境有害
91,10326-21-3,对环境有害
92,10326-24-6,对环境有危害，对水体可造成污染
93,10361-37-2,对环境有害
94,10361-44-1,对环境有害
95,10361-95-2,对环境可能有危害
96,10377-60-3,对环境有害
97,104-51-8,对环境有害
98,104-75-6,对水生生物有毒性
99,104-78-9,对环境有危害，对水体可造成污染
100,104-85-8,对环境有危害，对水体可造成污染
101,104-90-5,对环境有危害
102,104-92-7,对环境有害
103,10421-48-4,对环境有害
104,10450-60-9,对环境有害
105,105-05-5,对环境有害
106,105-29-3,对环境可能有危害，对水体可造成污染
107,105-30-6,对环境可能有危害，对水体可造成污染
108,105-36-2,对环境有害
109,105-37-3,对水生生物有毒性
110,105-39-5,对水生生物有极高毒性
