,CAS,健康危害
0,100-01-6,本品毒性比苯胺大
1,100-01-6,可通过皮肤和呼吸道吸收，是一种强烈的高铁血红蛋白形成剂
2,100-01-6,吸收后数小时内可出现紫绀
3,100-01-6,有溶血作用，可发生溶血性贫血
4,100-01-6,长期大量接触可引起肝损害
5,100-02-7,本品对皮肤有强烈刺激作用
6,100-02-7,能经皮肤和呼吸道吸收
7,100-02-7,动物实验可引起高铁血红蛋白血症，体温升高，肝、肾损害
8,100-07-2,对粘膜、上呼吸道、眼睛和皮肤有强烈刺激作用
9,100-07-2,吸入后可因喉、支气管的炎症、水肿、痉挛，化学性肺炎或肺水肿而致死
10,100-07-2,中毒表现有烧灼感、咳嗽、喘息、喉炎、气短、头痛、恶心、呕吐
11,100-11-8,吸入或口服对身体有害
12,100-11-8,本品对眼睛、黏膜、呼吸道及皮肤有强烈刺激性
13,100-12-9,吸入或经皮肤吸收本品可引起中毒
14,100-12-9,能引起高铁血红蛋白血症、贫血
15,100-14-1,吸入、摄入对身体有害
16,100-14-1,对眼睛、皮肤、粘膜及呼吸道有刺激作用
17,100-14-1,中毒表现有烧灼感、咳嗽、喘息、喉炎、气短、头痛、恶心和呕吐
18,100-14-1,吸入后可能由于喉、支气管的痉挛、炎症和水肿，化学性肺炎或肺水肿而致死
19,100-16-3,对眼睛、上呼吸道、黏膜和皮肤有刺激性
20,100-17-4,对眼睛、黏膜及皮肤有刺激作用
21,100-17-4,可能引起贫血、紫绀、肝损害等
22,100-20-9,本品对黏膜、上呼吸道、眼和皮肤有强烈的刺激性
23,100-25-4,本品为强烈的高铁血红蛋白形成剂
24,100-25-4,易经皮肤吸收
25,100-25-4,急性中毒：有头痛、头晕、乏力、皮肤黏膜紫绀、手指麻木等症状；严重时可出现胸闷、呼吸困难、心悸，甚至心律紊乱、昏迷、抽搐、呼吸麻痹
26,100-25-4,有时中毒后出现溶血性贫血、黄疸、中毒性肝病
27,100-25-4,慢性中毒：可有神经衰弱综合征；慢性溶血时，可出现贫血、黄疸；可引起中毒性肝病
28,100-28-7,本品对皮肤有刺激作用
29,100-28-7,其蒸气或雾对眼睛、粘膜和上呼吸道有刺激作用
30,100-28-7,接触后可引起烧灼感、咳嗽、喘息、喉炎、气短、头痛、恶心和呕吐
31,100-29-8,有毒
32,100-29-8,吸入蒸气或经皮肤吸收较易引起中毒
33,100-29-8,能引起紫绀、体温升高等
34,100-35-6,吸入其蒸气可引起眼、呼吸道刺激，恶心、呕吐，甚至出现肺水肿；误服可产生恶心、呕吐、腹泻
35,100-35-6,对皮肤、粘膜有强烈刺激和糜烂作用
36,100-35-6,可引起眼和皮肤灼伤
37,100-36-7,对眼睛、皮肤、粘膜和上呼吸道有强烈刺激作用
38,100-36-7,接触后可引起头痛、头晕、恶心、呕吐、咳嗽等
39,100-37-8,人吸入1000mg/m3的本品几秒钟，即出现恶心和呕吐
40,100-39-0,本品具有刺激性，可引起明显的呼吸道刺激，胸部紧束感
41,100-39-0,吸入高浓度蒸气可出现呼吸道炎症，甚至肺水肿
42,100-39-0,有催泪作用
43,100-39-0,皮服接触可引起皮炎和荨麻疹
44,100-40-3,吸入、摄入或经皮吸收对身体有害
45,100-40-3,蒸气或雾对眼、粘膜和上呼吸道有刺激性
46,100-40-3,对皮肤有刺激性
47,100-41-4,本品对皮肤、黏膜有较强刺激性，高浓度有麻醉作用
48,100-41-4,急性中毒：轻度中毒有头晕、头痛、恶心、呕吐、步态蹒跚、轻度意识障碍及眼和上呼吸道刺激症状
49,100-41-4,重者发生昏迷、抽搐、血压下降及呼吸循环衰竭
50,100-41-4,可有肝损害
51,100-41-4,直接吸入本品液体可致化学性肺炎和肺水肿慢性影响：眼及上呼吸道刺激症状、神经衰弱综合征
52,100-41-4,皮肤出现粘糙、皲裂、脱皮
53,100-42-5,对眼和上呼吸道黏膜有刺激作用，高浓度有麻醉作用
54,100-42-5,急性中毒：高浓度时，立即引起眼及上呼吸道黏膜的刺激，出现眼痛、流泪、流涕、喷嚏、咽痛、咳嗽等，继之头痛、头晕、恶心、呕吐、全身乏力等；严重者可有眩晕、步态蹒跚
55,100-42-5,眼部受苯乙烯液体污染时，可致灼伤
56,100-42-5,慢性影响：常见神经衰弱综合征，有头痛、乏力、恶心、食欲减退、腹胀、忧郁、健忘、指颤等
57,100-42-5,少部分工人出现神经传导速度减慢
58,100-42-5,皮肤经常接触表现为粗糙、皲裂和增厚
59,100-43-6,对眼睛、皮肤、粘膜有强烈刺激性，可引起皮肤灼伤
60,100-43-6,吸入，可引起眼、鼻、咽喉刺激；重者可产生抽搐、昏迷
