,CAS,禁配物
0,100-00-5,强氧化剂
1,100-00-5,强碱
2,100-00-5,强还原剂。
3,100-01-6,强氧化剂
4,100-01-6,强酸
5,100-01-6,酰基氯
6,100-01-6,酸酐
7,100-01-6,氯仿
8,100-02-7,强氧化剂
9,100-02-7,强还原剂
10,100-02-7,强碱
11,100-07-2,强氧化剂
12,100-07-2,水
13,100-07-2,强碱。
14,100-11-8,碱
15,100-11-8,胺类
16,100-11-8,强氧化剂
17,100-11-8,醇类
18,100-11-8,强还原剂
19,100-12-9,强氧化剂
20,100-12-9,强还原剂
21,100-12-9,强碱
22,100-12-9,强酸
23,100-14-1,碱
24,100-14-1,胺类
25,100-14-1,强氧化剂
26,100-14-1,水
27,100-14-1,二氧化碳。
28,100-16-3,强氧化剂
29,100-16-3,强还原剂
30,100-16-3,强酸
31,100-17-4,强氧化剂
32,100-17-4,强还原剂
33,100-17-4,强酸
34,100-17-4,强碱
35,100-20-9,水
36,100-20-9,醇类
37,100-20-9,强氧化剂
38,100-20-9,强碱
39,100-25-4,强氧化剂
40,100-25-4,强还原剂
41,100-25-4,强碱
42,100-28-7,强氧化剂
43,100-28-7,强酸
44,100-28-7,强碱。
45,100-29-8,强氧化剂
46,100-29-8,强还原剂
47,100-29-8,强酸
48,100-29-8,强碱
49,100-35-6,强氧化剂。
50,100-36-7,强氧化剂
51,100-36-7,强酸。
52,100-37-8,强氧化剂
53,100-37-8,强酸
54,100-39-0,碱类
55,100-39-0,胺类
56,100-39-0,强氧化剂
57,100-39-0,醇类
58,100-40-3,强氧化剂
59,100-40-3,强酸。
60,100-41-4,强氧化剂
61,100-41-4,酸类
62,100-41-4,卤素等
63,100-42-5,强氧化剂
64,100-42-5,酸类
65,100-42-5,卤素等
66,100-43-6,强氧化剂
67,100-43-6,强酸。
68,100-44-7,强氧化剂
69,100-44-7,铁
70,100-44-7,铁盐
71,100-44-7,铝
72,100-44-7,水
73,100-44-7,醇类
74,100-46-9,酸类
75,100-46-9,酰基氯
76,100-46-9,酸酐
77,100-46-9,强氧化剂
78,100-46-9,二氧化碳。
79,100-47-0,强氧化剂
80,100-47-0,强还原剂
81,100-47-0,强酸
82,100-47-0,强碱
83,100-50-5,强碱
84,100-50-5,强氧化剂
85,100-50-5,强还原剂。
86,100-53-8,强氧化剂
87,100-53-8,强碱
88,100-56-1,强氧化剂
89,100-56-1,强还原剂
90,100-56-1,强酸。
91,100-61-8,酸类
92,100-61-8,酰基氯
93,100-61-8,酸酐
94,100-61-8,强氧化剂
95,100-63-0,强氧化剂
96,100-66-3,强氧化剂
97,100-66-3,强酸
98,100-69-6,强氧化剂
99,100-69-6,强酸
100,100-69-6,强碱。
101,100-71-0,强氧化剂
102,100-71-0,强酸。
103,100-73-2,强氧化剂
104,100-73-2,强碱。
105,100-74-3,强氧化剂。
106,100-97-0,强氧化剂
107,100-97-0,强酸
108,100-99-2,强氧化剂
109,100-99-2,酸类
110,100-99-2,水
111,100-99-2,空气
112,100-99-2,氧
113,100-99-2,醇类
114,1002-16-0,还原剂
115,1002-16-0,氧化剂
116,10022-31-8,酸类
117,10022-31-8,碱
118,10022-31-8,酸酐
119,10022-31-8,易燃或可燃物
120,10022-31-8,强还原剂
121,10024-97-2,强还原剂
122,10024-97-2,易燃或可燃物
123,10024-97-2,乙醚
124,10024-97-2,乙烯
125,10025-67-9,酸类
126,10025-67-9,碱类
127,10025-67-9,醇类
128,10025-67-9,过氧化物
129,10025-67-9,水
130,10025-67-9,碱金属。
131,10025-68-0,强氧化剂
132,10025-68-0,强酸
133,10025-68-0,强碱
134,10025-68-0,磷
135,10025-68-0,钾
136,10025-68-0,过氧化钾
137,10025-68-0,过氧化钠
138,10025-78-2,酸类
139,10025-78-2,强碱
140,10025-78-2,强氧化剂
141,10025-78-2,水
142,10025-78-2,醇类
143,10025-78-2,胺类
144,10025-87-3,强还原剂
145,10025-87-3,活性金属粉末
146,10025-87-3,水
147,10025-87-3,醇类
148,10025-91-9,强还原剂
149,10025-91-9,水
150,10025-91-9,醇类
151,10025-91-9,碱类
152,10026-03-6,强氧化剂
153,10026-03-6,强酸
154,10026-03-6,强碱
155,10026-03-6,磷
156,10026-03-6,钾。
157,10026-04-7,强氧化剂
158,10026-04-7,醇类
159,10026-04-7,水
160,10026-04-7,强碱
161,10026-07-0,强碱
162,10026-07-0,氨。
163,10026-11-6,水
164,10026-11-6,胺类
165,10026-11-6,醇类
166,10026-11-6,酸类
167,10026-11-6,酯类
168,10026-11-6,酮
169,10026-12-7,强酸
170,10026-12-7,潮湿空气。
171,10026-13-8,醇类
172,10026-13-8,水
173,10026-13-8,活性金属粉末
174,10026-13-8,铝
175,10026-13-8,碱金属
176,10026-13-8,酸类
177,10026-13-8,易燃物和可燃物
178,10026-17-2,强酸。
179,10026-18-3,还原剂
180,10026-18-3,易燃或可燃物
181,10026-18-3,空气
182,1003-03-8,酸类
183,1003-03-8,酸酐
184,1003-03-8,强氧化剂
185,1003-03-8,二氧化碳。
186,10031-13-7,强氧化剂
187,10031-13-7,强酸。
188,10031-18-2,强酸
189,10031-43-3,强还原剂
190,10031-43-3,易燃或可燃物。
191,10034-81-8,还原剂
192,10034-81-8,易燃或可燃物
193,10034-81-8,硫
194,10034-81-8,磷
195,10034-81-8,肼
196,10034-85-2,强氧化剂
197,10034-85-2,碱类
198,10035-10-6,碱类
199,10035-10-6,氨
200,10035-10-6,活性金属粉末
201,10035-10-6,易燃或可燃物
202,10035-10-6,氰化物
203,10036-47-2,强还原剂
204,10036-47-2,易燃或可燃物
205,10036-47-2,空气
206,10036-47-2,氧。
207,10038-98-9,强氧化剂
208,10038-98-9,水
209,10038-98-9,醇类
210,10038-98-9,碱类
211,10039-54-0,强还原剂。
212,10042-76-9,强还原剂
213,10042-76-9,强酸
214,10042-76-9,易燃或可燃物。
215,10043-35-3,碱类
216,10043-35-3,钾。
217,10045-94-0,易燃或可燃物
218,10045-94-0,强还原剂
219,10045-94-0,无机物
220,10045-94-0,磷
221,10045-94-0,活性金属粉末等
222,10049-04-4,还原剂
223,10049-04-4,易燃或可燃物
224,10049-04-4,活性金属粉末。
225,10099-59-9,还原剂
226,10099-59-9,易燃或可燃物
227,10099-74-8,强还原剂
228,10099-74-8,活性金属粉末
229,10099-74-8,易燃或可燃物
230,10099-76-0,强氧化剂
231,10099-76-0,强酸。
232,101-02-0,强氧化剂
233,101-02-0,强酸
234,101-02-0,强碱。
235,101-25-7,强氧化剂
236,101-25-7,酸类
237,101-25-7,碱类
238,101-27-9,强氧化剂
239,101-27-9,强酸
240,101-27-9,强碱。
241,101-37-1,强氧化剂
242,101-37-1,酸类。
243,101-54-2,强氧化剂
244,101-54-2,强酸。
245,101-68-8,强氧化剂
246,101-68-8,酸类
247,101-68-8,醇类
248,101-68-8,潮湿空气。
249,101-77-9,强氧化剂。
250,101-82-6,强氧化剂
251,101-82-6,强酸。
252,101-83-7,酸类
253,101-83-7,酰基氯
254,101-83-7,非氧化性酸
255,101-83-7,强氧化剂
256,101-83-7,氯仿
257,10101-50-5,强还原剂
258,10101-50-5,活性金属粉末
259,10101-50-5,易燃或可燃物
260,10101-50-5,硫
261,10101-50-5,磷。硫酸
262,10101-50-5,铵盐
263,10101-50-5,过氧化氢
264,10101-50-5,甘油
265,10101-50-5,乙醇
266,10102-18-8,强氧化剂
267,10102-18-8,强酸。
268,10102-20-2,强酸。
269,10102-43-9,易燃或可燃物
270,10102-43-9,铝
271,10102-43-9,卤素
272,10102-43-9,氧
273,10102-43-9,氢气
274,10102-44-0,易燃或可燃物
275,10102-44-0,强还原剂
276,10102-44-0,硫
277,10102-44-0,磷。
278,10102-45-1,还原剂
279,10102-45-1,易燃或可燃物
280,10102-45-1,活性金属粉末
281,10102-45-1,硫
282,10102-45-1,磷。
283,10102-49-5,强氧化剂
284,10102-49-5,强碱。
285,10103-50-1,强氧化剂。
286,10103-61-4,强氧化剂
287,10103-61-4,强酸。
288,10108-64-2,强氧化剂
289,10108-64-2,钾
290,10108-73-3,还原剂
291,10108-73-3,易燃或可燃物
292,10108-73-3,活性金属粉末
293,10108-73-3,硫
294,10108-73-3,磷
295,10112-91-1,强碱
296,10112-91-1,潮湿空气。
297,10118-76-0,易燃或可燃物
298,10118-76-0,强还原剂
299,10118-76-0,磷
300,10118-76-0,硫
301,10118-76-0,活性金属粉末。硫酸
302,10118-76-0,铵盐
303,10118-76-0,过氧化氢
304,10118-76-0,甘油
305,10118-76-0,乙醇
306,10124-36-4,强氧化剂
307,10124-37-5,强还原剂
308,10124-37-5,强酸
309,10124-37-5,磷
310,10124-37-5,铝
311,10124-37-5,硫。
312,10124-43-3,潮湿空气。
313,10124-48-8,卤素。
314,10124-50-2,强氧化剂
315,10124-50-2,强酸
316,10124-50-2,二氧化碳
317,10137-69-6,强氧化剂
318,10137-69-6,酸类
319,10137-69-6,碱类。
320,10139-58-9,还原剂
321,10139-58-9,易燃或可燃物。
322,10141-05-6,易燃或可燃物
323,10141-05-6,强还原剂
324,10141-05-6,活性金属粉末
325,10141-05-6,硫
326,10141-05-6,磷
327,10192-29-7,强还原剂
328,10192-29-7,易燃或可燃物
329,10192-29-7,强酸
330,10192-29-7,硫
331,10192-29-7,磷
332,10192-29-7,硫酸
333,102-27-2,酸类
334,102-27-2,酸酐
335,102-27-2,强氧化剂
336,102-27-2,酰基氯。
337,102-36-3,强氧化剂
338,102-36-3,强碱
339,102-36-3,醇类
340,102-36-3,胺类
341,102-36-3,水。
342,102-47-6,氧化剂
343,102-47-6,碱
344,102-47-6,胺类
345,102-47-6,醇类。
346,102-69-2,强氧化剂
347,102-69-2,酸类
348,102-70-5,强氧化剂
349,102-70-5,强酸
350,102-70-5,强碱。
351,102-81-8,强氧化剂
352,102-81-8,强酸
353,102-81-8,强碱
354,102-82-9,强氧化剂
355,102-82-9,酸类
356,102-82-9,酰基氯
357,102-82-9,酸酐
358,10217-52-4,强氧化剂
359,10217-52-4,强酸
360,10217-52-4,铜
361,10217-52-4,锌
362,10217-52-4,氧化汞
363,10217-52-4,金属钠
364,10217-52-4,氯化亚锡
365,10217-52-4,"2,4-二硝基氯化苯"
366,10241-05-1,强氧化剂
367,10241-05-1,水
368,10265-92-6,强氧化剂
369,10265-92-6,强碱
370,10290-12-7,强氧化剂
371,10290-12-7,强酸。
372,10294-33-4,碱类
373,10294-33-4,水
374,10294-33-4,醇类
375,10294-34-5,水
376,10294-34-5,碱
377,10294-34-5,醇类
378,10294-34-5,碱金属
