,CAS,灭火方法
0,100-00-5,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
1,100-00-5,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2,100-01-6,用水、泡沫、干粉、二氧化碳灭火
3,100-02-7,用雾状水、泡沫、二氧化碳、砂土灭火
4,100-07-2,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
5,100-07-2,尽可能将容器从火场移至空旷处
6,100-07-2,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
7,100-07-2,灭火剂：干粉、二氧化碳、砂土
8,100-07-2,禁止用水和泡沫灭火
9,100-11-8,用雾状水、泡沫、二氧化碳、砂土灭火
10,100-12-9,用泡沫、雾状水、干粉、二氧化碳、砂土灭火
11,100-14-1,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
12,100-14-1,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
13,100-16-3,用雾状水、泡沫、二氧化碳灭火
14,100-17-4,用雾状水、泡沫、干粉、二氧化碳、砂土灭火
15,100-20-9,用干粉、二氧化碳、砂土灭火
16,100-25-4,用雾状水、泡沫、二氧化碳灭火
17,100-28-7,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
18,100-28-7,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
19,100-29-8,用雾状水、泡沫、干粉、二氧化碳、砂土灭火
20,100-35-6,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
21,100-35-6,尽可能将容器从火场移至空旷处
22,100-35-6,喷水保持火场容器冷却，直至灭火结束
23,100-35-6,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
24,100-35-6,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
25,100-35-6,不宜用水
26,100-36-7,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
27,100-36-7,尽可能将容器从火场移至空旷处
28,100-36-7,喷水保持火场容器冷却，直至灭火结束
29,100-36-7,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
30,100-36-7,用水喷射逸出液体，使其稀释成不燃性混合物，并用雾状水保护消防人员
31,100-36-7,灭火剂：水、雾状水、抗溶性泡沫、干粉、二氧化碳、砂土
32,100-37-8,用雾状水、抗溶性泡沫、干粉、二氧化碳、砂土灭火
33,100-39-0,用雾状水、泡沫、干粉、二氧化碳灭火
34,100-40-3,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
35,100-40-3,尽可能将容器从火场移至空旷处
36,100-40-3,喷水保持火场容器冷却，直至灭火结束
37,100-40-3,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
38,100-40-3,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
39,100-41-4,用泡沫、干粉、二氧化碳、砂土灭火
40,100-42-5,用泡沫、干粉、二氧化碳、砂土灭火
41,100-43-6,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
42,100-43-6,尽可能将容器从火场移至空旷处
43,100-43-6,喷水保持火场容器冷却，直至灭火结束
44,100-43-6,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
45,100-43-6,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
46,100-44-7,用雾状水、泡沫、干粉、二氧化碳灭火
47,100-46-9,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
48,100-46-9,尽可能将容器从火场移至空旷处
49,100-46-9,喷水保持火场容器冷却，直至灭火结束
