,CAS,灭火注意事项及措施
0,100-01-6,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
1,100-01-6,尽可能将容器从火场移至空旷处
2,100-01-6,喷水保持火场容器冷却，直至灭火结束
3,100-02-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
4,100-02-7,尽可能将容器从火场移至空旷处
5,100-02-7,喷水保持火场容器冷却，直至灭火结束
6,100-11-8,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
7,100-11-8,尽可能将容器从火场移至空旷处
8,100-11-8,喷水保持火场容器冷却，直至灭火结束
9,100-12-9,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
10,100-12-9,尽可能将容器从火场移至空旷处
11,100-12-9,喷水保持火场容器冷却，直至灭火结束
12,100-12-9,容器突然发出异常声音或出现异常现象，应立即撤离
13,100-16-3,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
14,100-16-3,尽可能将容器从火场移至空旷处
15,100-16-3,喷水保持火场容器冷却，直至灭火结束
16,100-16-3,遇大火，消防人员须在有防护掩蔽处操作
17,100-17-4,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
18,100-17-4,尽可能将容器从火场移至空旷处
19,100-17-4,喷水保持火场容器冷却，直至灭火结束
20,100-20-9,消防人员必须穿全身耐酸碱消防服、佩戴空气呼吸器灭火
21,100-20-9,尽可能将容器从火场移至空旷处
22,100-20-9,喷水保持火场容器冷却，直至灭火结束
23,100-20-9,禁止用水、泡沫和酸碱灭火剂灭火
24,100-25-4,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
25,100-25-4,尽可能将容器从火场移至空旷处
26,100-25-4,喷水保持火场容器冷却，直至灭火结束
27,100-25-4,切勿将水流直接射至熔融物，以免引起严重的流淌火灾或引起剧烈的沸溅
28,100-25-4,禁止用砂土压盖
29,100-29-8,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
30,100-29-8,尽可能将容器从火场移至空旷处
31,100-29-8,喷水保持火场容器冷却，直至灭火结束
32,100-37-8,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
33,100-37-8,尽可能将容器从火场移至空旷处
34,100-37-8,喷水保持火场容器冷却，直至灭火结束
35,100-37-8,容器突然发出异常声音或出现异常现象，应立即撤离
36,100-39-0,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
37,100-39-0,尽可能将容器从火场移至空旷处
38,100-39-0,喷水保持火场容器冷却，直至灭火结束
39,100-39-0,容器突然发出异常声音或出现异常现象，应立即撤离
40,100-41-4,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
41,100-41-4,喷水冷却容器，可能的话将容器从火场移至空旷处
42,100-41-4,容器突然发出异常声音或出现异常现象，应立即撤离
43,100-42-5,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
44,100-42-5,尽可能将容器从火场移至空旷处
45,100-42-5,喷水保持火场容器冷却，直至灭火结束
46,100-42-5,容器突然发出异常声音或出现异常现象，应立即撤离
47,100-44-7,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
48,100-44-7,尽可能将容器从火场移至空旷处
49,100-44-7,喷水保持火场容器冷却，直至灭火结束
50,100-44-7,容器突然发出异常声音或出现异常现象，应立即撤离
51,100-47-0,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
52,100-47-0,尽可能将容器从火场移至空旷处
53,100-47-0,喷水保持火场容器冷却，直至灭火结束
54,100-47-0,容器突然发出异常声音或出现异常现象，应立即撤离
55,100-47-0,禁止使用酸碱灭火剂
56,100-53-8,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
57,100-53-8,尽可能将容器从火场移至空旷处
58,100-53-8,喷水保持火场容器冷却，直至灭火结束
59,100-53-8,容器突然发出异常声音或出现异常现象，应立即撤离
60,100-61-8,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
61,100-61-8,尽可能将容器从火场移至空旷处
62,100-61-8,喷水保持火场容器冷却，直至灭火结束
63,100-61-8,容器突然发出异常声音或出现异常现象，应立即撤离
64,100-63-0,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
65,100-63-0,尽可能将容器从火场移至空旷处
66,100-63-0,喷水保持火场容器冷却，直至灭火结束
67,100-63-0,容器突然发出异常声音或出现异常现象，应立即撤离
68,100-66-3,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
69,100-66-3,喷水冷却容器，可能的话将容器从火场移至空旷处
70,100-66-3,容器突然发出异常声音或出现异常现象，应立即撤离
71,100-97-0,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
72,100-97-0,喷水冷却容器，可能的话将容器从火场移至空旷处
73,100-99-2,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
74,100-99-2,尽可能将容器从火场移至空旷处
75,100-99-2,喷水保持火场容器冷却，直至灭火结束
76,100-99-2,禁止用水、泡沫和酸碱灭火剂灭火
77,1002-16-0,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
78,1002-16-0,喷水冷却容器，可能的话将容器从火场移至空旷处
79,1002-16-0,容器突然发出异常声音或出现异常现象，应立即撤离
80,10022-31-8,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
81,10022-31-8,尽可能将容器从火场移至空旷处
82,10022-31-8,喷水保持火场容器冷却，直至灭火结束
83,10022-31-8,切勿将水流直接射至熔融物，以免引起严重的流淌火灾或引起剧烈的沸溅
84,10024-97-2,切断气源
85,10024-97-2,若不能切断气源，则不允许熄灭泄漏处的火焰
86,10024-97-2,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
87,10024-97-2,尽可能将容器从火场移至空旷处
