,CAS,皮肤接触
0,100-00-5,立即脱去污染的衣着，用大量流动清水冲洗
1,100-00-5,就医
2,100-01-6,立即脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
3,100-01-6,如有不适感，就医
4,100-02-7,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
5,100-02-7,如有不适感，就医
6,100-07-2,立即脱去污染的衣着，用大量流动清水冲洗
7,100-07-2,就医
8,100-11-8,立即脱去污染的衣着，用大量流动清水冲洗20～30min
9,100-11-8,如有不适感，就医
10,100-12-9,立即脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
11,100-12-9,如有不适感，就医
12,100-14-1,脱去污染的衣着，用大量流动清水冲洗
13,100-16-3,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
14,100-16-3,如有不适感，就医
15,100-17-4,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
16,100-17-4,如有不适感，就医
17,100-20-9,立即脱去污染的衣着，用大量流动清水冲洗20～30min
18,100-20-9,如有不适感，就医
19,100-25-4,立即脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
20,100-25-4,如有不适感，就医
21,100-28-7,脱去污染的衣着，用大量流动清水冲洗
22,100-29-8,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
23,100-29-8,如有不适感，就医
24,100-35-6,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
25,100-35-6,就医
26,100-36-7,脱去污染的衣着，用大量流动清水冲洗
27,100-36-7,就医
28,100-37-8,立即脱去污染的衣着，用大量流动清水冲洗20～30min
29,100-37-8,如有不适感，就医
30,100-39-0,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
31,100-39-0,如有不适感，就医
32,100-40-3,脱去污染的衣着，用大量流动清水冲洗
33,100-41-4,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
34,100-41-4,如有不适感，就医
35,100-42-5,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
36,100-42-5,如有不适感，就医
37,100-43-6,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
38,100-43-6,就医
39,100-44-7,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
40,100-44-7,如有不适感，就医
41,100-46-9,脱去污染的衣着，用大量流动清水冲洗
42,100-47-0,立即脱去污染的衣着，用流动清水或5%硫代硫酸钠溶液彻底冲洗
43,100-47-0,就医
44,100-50-5,脱去污染的衣着，用流动清水冲洗
45,100-53-8,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
46,100-53-8,如有不适感，就医
47,100-56-1,立即脱去污染的衣着，用大量流动清水冲洗
48,100-56-1,就医
49,100-61-8,立即脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
50,100-61-8,如有不适感，就医
51,100-63-0,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
52,100-63-0,如有不适感，就医
53,100-66-3,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
54,100-66-3,如有不适感，就医
55,100-69-6,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
56,100-69-6,就医
57,100-71-0,脱去污染的衣着，用大量流动清水冲洗
58,100-73-2,脱去污染的衣着，用流动清水冲洗
59,100-74-3,立即脱去污染的衣着，用大量流动清水冲洗
60,100-74-3,就医
61,100-97-0,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
62,100-97-0,如有不适感，就医
63,100-99-2,立即脱去污染的衣着，用大量流动清水冲洗20～30min
64,100-99-2,如有不适感，就医
65,1002-16-0,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
66,1002-16-0,如有不适感，就医
67,10022-31-8,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
68,10022-31-8,如有不适感，就医
69,10024-97-2,不会通过该途径接触
70,10025-68-0,立即脱去污染的衣着，用大量流动清水冲洗20～30min
71,10025-68-0,如有不适感，就医
72,10025-78-2,立即脱去污染的衣着，用大量流动清水冲洗20～30min
73,10025-78-2,如有不适感，就医
74,10025-87-3,立即脱去污染的衣着，用大量流动清水冲洗20～30min
75,10025-87-3,如有不适感，就医
76,10025-91-9,立即脱去污染的衣着，用大量流动清水冲洗20～30min
77,10025-91-9,如有不适感，就医
78,10026-03-6,脱去污染的衣着，用流动清水冲洗
79,10026-04-7,立即脱去污染的衣着，用大量流动清水冲洗20～30min
80,10026-04-7,如有不适感，就医
81,10026-11-6,立即脱去污染的衣着，用大量流动清水冲洗20～30min
82,10026-11-6,如有不适感，就医
83,10026-12-7,脱去污染的衣着，用大量流动清水冲洗
84,10026-13-8,立即脱去污染的衣着，用大量流动清水冲洗20～30min
85,10026-13-8,如有不适感，就医
86,10026-17-2,立即脱去污染的衣着，用大量流动清水冲洗
87,10026-17-2,就医
88,10026-18-3,用肥皂水及清水彻底冲洗；就医；若有灼伤，按酸灼伤处理
