,CAS,侵入途径
0,100-01-6,吸入
1,100-01-6,食入
2,100-01-6,经皮吸收
3,100-02-7,吸入
4,100-02-7,食入
5,100-02-7,经皮吸收
6,100-11-8,吸入
7,100-11-8,食入
8,100-12-9,吸入
9,100-12-9,食入
10,100-12-9,经皮吸收
11,100-16-3,吸入
12,100-16-3,食入
13,100-17-4,吸入
14,100-17-4,食入
15,100-20-9,吸入
16,100-20-9,食入
17,100-20-9,经皮吸收
18,100-25-4,吸入
19,100-25-4,食入
20,100-25-4,经皮吸收
21,100-29-8,吸入
22,100-29-8,食入
23,100-29-8,经皮
24,100-37-8,吸入
25,100-37-8,食入
26,100-37-8,经皮吸收
27,100-39-0,吸入
28,100-39-0,食入
29,100-41-4,吸入
30,100-41-4,食入
31,100-42-5,吸入
32,100-42-5,食入
33,100-42-5,经皮吸收
34,100-44-7,吸入
35,100-44-7,食入
36,100-44-7,经皮吸收
37,100-47-0,吸入
38,100-47-0,食入
39,100-47-0,经皮吸收
40,100-53-8,吸入
41,100-53-8,食入
42,100-53-8,经皮吸收
43,100-61-8,吸入
44,100-61-8,食入
45,100-61-8,经皮吸收
46,100-63-0,吸入
47,100-63-0,食入
48,100-63-0,经皮吸收
49,100-66-3,吸入
50,100-66-3,食入
51,100-97-0,吸入
52,100-97-0,食入
53,100-99-2,吸入
54,100-99-2,食入
55,1002-16-0,吸入
56,1002-16-0,食入
57,10022-31-8,吸入
58,10022-31-8,食入
59,10024-97-2,吸入
60,10025-68-0,吸入
61,10025-68-0,食入
62,10025-68-0,经皮吸收
63,10025-78-2,吸入
64,10025-78-2,食入
65,10025-87-3,吸入
66,10025-87-3,食入
67,10025-91-9,吸入
68,10025-91-9,食入
69,10025-91-9,经皮吸收
70,10026-04-7,吸入
71,10026-04-7,食入
72,10026-11-6,吸入
73,10026-11-6,食入
74,10026-13-8,吸入
75,10026-13-8,食入
76,10026-18-3,吸入，食入
77,10031-18-2,吸入
78,10031-18-2,食入
79,10034-81-8,吸入
80,10034-81-8,食入
81,10034-85-2,吸入
82,10035-10-6,吸入
83,10035-10-6,食入
84,10038-98-9,吸入
85,10038-98-9,食入
86,10045-94-0,吸入
87,10045-94-0,食入
88,10045-94-0,经皮吸收
89,10099-59-9,吸入
90,10099-59-9,食入
91,10099-74-8,吸入
92,10099-74-8,食入
93,101-25-7,吸入
94,101-25-7,食入
95,101-83-7,吸入
96,101-83-7,食入
97,101-83-7,经皮吸收
98,10101-50-5,吸入
99,10101-50-5,食入
100,10101-50-5,经皮吸收
101,10102-43-9,吸入
102,10103-61-4,吸入
103,10103-61-4,食入
104,10103-61-4,经皮吸收
105,10108-64-2,吸入
106,10108-64-2,食入
107,10108-73-3,吸入
108,10108-73-3,食入
109,10118-76-0,吸入
110,10118-76-0,食入
111,10124-36-4,吸入，食入
112,10124-50-2,吸入
113,10124-50-2,食入
114,10124-50-2,经皮吸收
115,10138-60-0,吸入，食入，皮肤接触，眼睛接触。
116,10141-05-6,吸入
117,10141-05-6,食入
118,10192-29-7,吸入
119,10192-29-7,食入
120,102-69-2,吸入
121,102-69-2,食入
122,102-81-8,吸入，食入，经皮吸收
123,102-82-9,吸入
124,102-82-9,食入
125,102-82-9,经皮吸收
126,10217-52-4,吸入
127,10217-52-4,食入
128,10217-52-4,经皮吸收
129,10241-05-1,吸入
130,10241-05-1,食入
131,10265-92-6,吸入
132,10265-92-6,食入
133,10265-92-6,经皮吸收
134,10294-33-4,吸入
135,10294-33-4,食入
136,10294-34-5,吸入
137,10294-34-5,食入
138,103-65-1,吸入
139,103-65-1,食入
140,103-65-1,经皮吸收
141,103-69-5,吸入
142,103-69-5,食入
143,103-69-5,经皮吸收
144,103-71-9,吸入
145,103-71-9,食入
146,103-71-9,经皮吸收
147,103-72-0,吸入
148,103-72-0,食入
149,103-80-0,吸入
150,103-80-0,食入
151,103-80-0,经皮吸收
152,10325-94-7,吸入
153,10325-94-7,食入
154,10326-21-3,吸入
155,10326-21-3,食入
156,10361-37-2,吸入
157,10361-37-2,食入
158,10361-37-2,经皮吸收
159,10361-44-1,吸入
160,10361-44-1,食入
161,10377-60-3,吸入
162,10377-60-3,食入
163,104-51-8,吸入
164,104-51-8,食入
165,104-51-8,经皮吸收
166,104-75-6,吸入
167,104-75-6,食入
168,104-75-6,经皮吸收
169,104-92-7,吸入
170,104-92-7,食入
171,10421-48-4,吸入
172,10421-48-4,食入
173,10450-60-9,吸入
174,10450-60-9,食入
175,105-05-5,吸入
176,105-05-5,食入
177,105-05-5,经皮吸收
178,105-36-2,吸入
179,105-36-2,食入
180,105-36-2,经皮吸收
181,105-37-3,吸入
182,105-37-3,食入
183,105-39-5,吸入
184,105-39-5,食入
185,105-39-5,经皮吸收
186,105-46-4,吸入
187,105-46-4,食入
188,105-46-4,经皮吸收
189,105-54-4,吸入
190,105-54-4,食入
191,105-54-4,经皮吸收
192,105-56-6,吸入
193,105-56-6,食入
194,105-56-6,经皮吸收
195,105-57-7,吸入
196,105-57-7,食入
197,105-58-8,吸入
198,105-58-8,食入
199,105-58-8,经皮吸收
200,105-66-8,吸入
201,105-66-8,食入
202,105-66-8,经皮吸收
203,105-68-0,吸入
204,105-68-0,食入
205,10544-72-6,吸入
206,10544-73-7,吸入
207,10545-99-0,吸入
208,10545-99-0,食入
209,10567-69-8,吸入
210,10567-69-8,食入
211,10588-01-9,吸入
212,10588-01-9,食入
213,10588-01-9,经皮吸收
214,106-31-0,吸入
215,106-31-0,食入
216,106-35-4,吸入
217,106-35-4,食入
218,106-41-2,吸入
219,106-41-2,食入
220,106-42-3,吸入
221,106-42-3,食入
222,106-42-3,经皮吸收
223,106-43-4,吸入
224,106-43-4,食入
225,106-44-5,吸入
226,106-44-5,食入
227,106-44-5,经皮吸收
228,106-45-6,吸入
229,106-45-6,食入
230,106-45-6,经皮吸收
231,106-47-8,吸入
232,106-47-8,食入
233,106-47-8,经皮吸收
234,106-48-9,吸入
235,106-48-9,食入
236,106-48-9,经皮吸收
237,106-49-0,吸入
238,106-49-0,食入
239,106-49-0,经皮吸收
240,106-50-3,吸入
241,106-50-3,食入
242,106-50-3,经皮吸收
243,106-51-4,吸入
244,106-51-4,食入
245,106-51-4,经皮吸收
246,106-63-8,吸入
247,106-63-8,食入
248,106-63-8,经皮吸收
249,106-70-7,吸入
250,106-70-7,食入
251,106-70-7,经皮吸收
252,106-88-7,吸入
253,106-88-7,食入
254,106-88-7,经皮吸收
255,106-93-4,吸入
256,106-93-4,食入
257,106-93-4,经皮吸收
258,106-94-5,吸入
259,106-94-5,食入
260,106-95-6,吸入
261,106-95-6,食入
262,106-97-8,吸入
263,106-98-9,吸入
264,106-99-0,吸入
265,107-00-6,吸入
266,107-01-7,吸入
267,107-02-8,吸入
268,107-02-8,食入
269,107-02-8,经皮吸收
270,107-03-9,吸入
271,107-03-9,食入
272,107-05-1,吸入
273,107-05-1,食入
274,107-05-1,经皮吸收
275,107-06-2,吸入
276,107-06-2,食入
277,107-06-2,经皮吸收
278,107-08-4,吸入
279,107-08-4,食入
280,107-10-8,吸入
281,107-10-8,食入
282,107-10-8,经皮吸收
283,107-11-9,吸入
284,107-11-9,食入
285,107-11-9,经皮吸收
286,107-12-0,吸入
287,107-12-0,食入
288,107-12-0,经皮吸收
289,107-13-1,吸入
290,107-13-1,食入
291,107-13-1,经皮吸收
292,107-14-2,吸入
293,107-14-2,食入
294,107-14-2,经皮吸收
295,107-15-3,吸入
296,107-15-3,食入
297,107-15-3,经皮吸收
298,107-16-4,吸入，食入，皮肤接触，眼睛接触。
299,107-18-6,吸入，食入，皮肤接触，眼睛接触。
300,107-20-0,吸入
301,107-20-0,食入
302,107-20-0,经皮吸收
303,107-27-7,吸入
304,107-27-7,食入
305,107-27-7,经皮吸收
306,107-30-2,吸入
307,107-30-2,食入
308,107-30-2,经皮吸收
309,107-31-3,吸入
310,107-31-3,食入
311,107-31-3,经皮吸收
312,107-46-0,吸入
313,107-46-0,食入
314,107-46-0,经皮吸收
315,107-83-5,吸入
316,107-83-5,食入
317,107-84-6,吸入
318,107-84-6,食入
319,107-85-7,吸入
320,107-85-7,食入
321,107-87-9,吸入
322,107-87-9,食入
323,107-92-6,吸入
324,107-92-6,食入
325,107-94-8,吸入
326,107-94-8,食入
327,107-94-8,经皮吸收
328,108-01-0,吸入
329,108-01-0,食入
330,108-01-0,经皮吸收
331,108-03-2,吸入
332,108-03-2,食入
333,108-05-4,吸入
334,108-05-4,食入
335,108-08-7,吸入
336,108-08-7,食入
