,CAS,吸入
0,100-00-5,迅速脱离现场至空气新鲜处
1,100-00-5,保持呼吸道通畅
2,100-00-5,如呼吸困难，给输氧
3,100-00-5,如呼吸停止，立即进行人工呼吸
4,100-00-5,就医
5,100-01-6,迅速脱离现场至空气新鲜处
6,100-01-6,保持呼吸道通畅
7,100-01-6,如呼吸困难，给输氧
8,100-01-6,呼吸、心跳停止，立即进行心肺复苏术
9,100-01-6,就医
10,100-02-7,迅速脱离现场至空气新鲜处
11,100-02-7,保持呼吸道通畅
12,100-02-7,如呼吸困难，给输氧
13,100-02-7,呼吸、心跳停止，立即进行心肺复苏术
14,100-02-7,就医
15,100-07-2,迅速脱离现场至空气新鲜处
16,100-07-2,保持呼吸道通畅
17,100-07-2,如呼吸困难，给输氧
18,100-07-2,如呼吸停止，立即进行人工呼吸
19,100-07-2,就医
20,100-11-8,迅速脱离现场至空气新鲜处
21,100-11-8,保持呼吸道通畅
22,100-11-8,如呼吸困难，给输氧
23,100-11-8,呼吸、心跳停止，立即进行心肺复苏术
24,100-11-8,就医
25,100-12-9,迅速脱离现场至空气新鲜处
26,100-12-9,保持呼吸道通畅
27,100-12-9,如呼吸困难，给输氧
28,100-12-9,呼吸、心跳停止，立即进行心肺复苏术
29,100-12-9,就医
30,100-14-1,迅速脱离现场至空气新鲜处
31,100-14-1,保持呼吸道通畅
32,100-14-1,如呼吸困难，给输氧
33,100-14-1,如呼吸停止，立即进行人工呼吸
34,100-14-1,就医
35,100-16-3,迅速脱离现场至空气新鲜处
36,100-16-3,保持呼吸道通畅
37,100-16-3,如呼吸困难，给输氧
38,100-16-3,呼吸、心跳停止，立即进行心肺复苏术
39,100-16-3,就医
40,100-17-4,迅速脱离现场至空气新鲜处
41,100-17-4,保持呼吸道通畅
42,100-17-4,如呼吸困难，给输氧
43,100-17-4,呼吸、心跳停止，立即进行心肺复苏术
44,100-17-4,就医
45,100-20-9,迅速脱离现场至空气新鲜处
46,100-20-9,保持呼吸道通畅
47,100-20-9,如呼吸困难，给输氧
48,100-20-9,呼吸、心跳停止，立即进行心肺复苏术
49,100-20-9,就医
50,100-25-4,迅速脱离现场至空气新鲜处
51,100-25-4,保持呼吸道通畅
52,100-25-4,如呼吸困难，给输氧
53,100-25-4,呼吸、心跳停止，立即进行心肺复苏术
54,100-25-4,就医
55,100-28-7,脱离现场至空气新鲜处
56,100-28-7,如呼吸困难，给输氧
57,100-28-7,就医
58,100-29-8,迅速脱离现场至空气新鲜处
59,100-29-8,保持呼吸道通畅
60,100-29-8,如呼吸困难，给输氧
61,100-29-8,呼吸、心跳停止，立即进行心肺复苏术
62,100-29-8,就医
63,100-35-6,迅速脱离现场至空气新鲜处
