,CAS,有害燃烧产物
0,100-00-5,一氧化碳
1,100-00-5,二氧化碳
2,100-00-5,氧化氮
3,100-00-5,氯化氢。
4,100-01-6,一氧化碳
5,100-01-6,氮氧化物
6,100-02-7,一氧化碳
7,100-02-7,氮氧化物
8,100-07-2,一氧化碳
9,100-07-2,二氧化碳
10,100-07-2,氯化氢。
11,100-11-8,一氧化碳
12,100-11-8,氮氧化物
13,100-11-8,溴化氢
14,100-12-9,一氧化碳
15,100-12-9,氮氧化物
16,100-14-1,一氧化碳
17,100-14-1,二氧化碳
18,100-14-1,氧化氮
19,100-14-1,氯化氢。
20,100-16-3,一氧化碳
21,100-16-3,氮氧化物
22,100-17-4,一氧化碳
23,100-17-4,氮氧化物
24,100-20-9,一氧化碳
25,100-20-9,光气
26,100-20-9,氯化氢
27,100-25-4,一氧化碳
28,100-25-4,氮氧化物
29,100-28-7,一氧化碳
30,100-28-7,二氧化碳
31,100-28-7,氮氧化物。
32,100-29-8,一氧化碳
33,100-29-8,氮氧化物
34,100-35-6,一氧化碳
35,100-35-6,二氧化碳
36,100-35-6,氮氧化物
37,100-35-6,氯化氢。
38,100-36-7,一氧化碳
39,100-36-7,二氧化碳
40,100-36-7,氮氧化物。
41,100-37-8,一氧化碳
42,100-37-8,氮氧化物
43,100-39-0,一氧化碳
44,100-39-0,溴化氢
45,100-40-3,一氧化碳
46,100-40-3,二氧化碳。
47,100-41-4,一氧化碳
48,100-42-5,一氧化碳
49,100-43-6,一氧化碳
50,100-43-6,二氧化碳
51,100-43-6,氮氧化物。
52,100-44-7,一氧化碳
53,100-44-7,氯化氢
54,100-46-9,一氧化碳
55,100-46-9,二氧化碳
56,100-46-9,氧化氮。
57,100-47-0,一氧化碳
58,100-47-0,氮氧化物
59,100-50-5,一氧化碳
60,100-50-5,二氧化碳。
61,100-53-8,一氧化碳
62,100-53-8,硫化物
63,100-56-1,一氧化碳
64,100-56-1,二氧化碳
65,100-56-1,氯化氢
66,100-56-1,汞
67,100-56-1,氧化汞。
68,100-61-8,一氧化碳
69,100-61-8,氮氧化物
70,100-63-0,一氧化碳
71,100-63-0,氮氧化物
72,100-66-3,一氧化碳
73,100-69-6,氮氧化物。
74,100-71-0,一氧化碳
75,100-71-0,二氧化碳
76,100-71-0,氮氧化物。
77,100-73-2,一氧化碳
78,100-73-2,二氧化碳。
79,100-74-3,一氧化碳
80,100-74-3,二氧化碳
81,100-74-3,氧化氮。
82,100-97-0,一氧化碳
83,100-97-0,氮氧化物
84,100-99-2,一氧化碳
85,100-99-2,氧化铝
86,1002-16-0,一氧化碳
87,1002-16-0,氮氧化物
88,10022-31-8,无意义
89,10024-97-2,无意义
90,10025-68-0,无意义
91,10025-78-2,氯化氢
92,10025-78-2,氧化硅
93,10025-87-3,无意义
94,10025-91-9,无意义
95,10026-03-6,氯化物
96,10026-03-6,氧化硒。
97,10026-04-7,无意义
98,10026-11-6,无意义
99,10026-12-7,氯化氢。
100,10026-13-8,无意义
101,10026-17-2,氧化钴
102,10026-17-2,氟化氢。
103,10026-18-3,氧化钻
104,10026-18-3,氟化氢
105,1003-03-8,一氧化碳
106,1003-03-8,二氧化碳
107,1003-03-8,氧化氮。
108,10031-13-7,氧化砷
109,10031-13-7,氧化铅
110,10031-13-7,砷。
111,10031-18-2,无意义
112,10031-43-3,氮氧化物。
113,10034-81-8,无意义
114,10034-85-2,无意义
115,10035-10-6,无意义
116,10036-47-2,氮氧化物
117,10036-47-2,氟化氢。
118,10038-98-9,无意义
119,10039-54-0,氧化硫
120,10039-54-0,氧化氮。
121,10042-76-9,氮氧化物。
122,10043-35-3,氧化硼。
123,10045-94-0,无意义
124,10049-04-4,氯化氢。
125,10099-59-9,无意义
126,10099-74-8,无意义
127,10099-76-0,氧化铅
128,10099-76-0,氧化硅。
129,101-02-0,一氧化碳
130,101-02-0,二氧化碳
131,101-02-0,氧化磷
132,101-02-0,磷烷。
133,101-25-7,一氧化碳
134,101-25-7,氮氧化物
135,101-27-9,一氧化碳
136,101-27-9,二氧化碳
137,101-27-9,氮氧化物
138,101-27-9,氯化氢。
139,101-37-1,一氧化碳
140,101-37-1,二氧化碳
141,101-37-1,氮氧化物
142,101-37-1,氰化物。
143,101-54-2,一氧化碳
144,101-54-2,二氧化碳
145,101-54-2,氮氧化物。
146,101-68-8,一氧化碳
147,101-68-8,二氧化碳
148,101-68-8,氮氧化物。
149,101-77-9,一氧化碳
150,101-77-9,二氧化碳
151,101-77-9,氮氧化物。
152,101-82-6,一氧化碳
153,101-82-6,二氧化碳
154,101-82-6,氮氧化物。
155,101-83-7,一氧化碳
156,101-83-7,氮氧化物
157,10101-50-5,无意义
158,10102-18-8,氧化硒
159,10102-18-8,氧化钠
160,10102-18-8,硒。
161,10102-20-2,啼
162,10102-20-2,氧化钠。
163,10102-43-9,无意义
164,10102-44-0,氮氧化物。
165,10102-45-1,氮氧化物。
166,10102-49-5,砷
167,10102-49-5,氧化镍
168,10102-49-5,氧化砷。
169,10103-50-1,砷
170,10103-50-1,氧化砷
171,10103-50-1,氧化镁。
172,10108-64-2,无意义
173,10108-73-3,无意义
174,10112-91-1,氯化氢
175,10112-91-1,氧化汞。
176,10118-76-0,无意义
177,10124-36-4,硫化物
178,10124-37-5,氮氧化物。
179,10124-43-3,氧化硫。
180,10124-48-8,氮氧化物
181,10124-48-8,氯化氢
182,10124-48-8,汞。
183,10124-50-2,无意义
184,10137-69-6,一氧化碳
185,10137-69-6,二氧化碳
186,10137-69-6,氯化氢
187,10137-69-6,氧化硅。
188,10138-60-0,一氧化碳
189,10138-60-0,二氧化碳
190,10139-58-9,氮氧化物。
191,10141-05-6,无意义
192,10192-29-7,无意义
193,102-27-2,一氧化碳
194,102-27-2,二氧化碳
195,102-27-2,氮氧化物。
196,102-36-3,一氧化碳
197,102-36-3,二氧化碳
198,102-36-3,氧化硫
199,102-36-3,氯化氢
200,102-36-3,氰化氢。
201,102-47-6,一氧化碳
202,102-47-6,二氧化碳
203,102-47-6,氯化氢。
204,102-69-2,一氧化碳
205,102-69-2,氮氧化物
206,102-70-5,一氧化碳
207,102-70-5,二氧化碳
208,102-70-5,氮氧化物。
209,102-81-8,一氧化碳
210,102-81-8,二氧化碳
211,102-81-8,氮氧化物
212,102-82-9,一氧化碳
213,102-82-9,氮氧化物
214,10217-52-4,氮氧化物
215,10241-05-1,无意义
216,10265-92-6,一氧化碳
217,10265-92-6,氮氧化物
218,10265-92-6,氧化磷
219,10290-12-7,砷
220,10290-12-7,氧化砷
221,10290-12-7,氧化铜。
222,10294-33-4,无意义
223,10294-34-5,无意义
224,10294-56-1,"Fire may produce irritating, corrosive and/or toxic gases."
225,103-65-1,一氧化碳
226,103-69-5,一氧化碳
227,103-69-5,氮氧化物
228,103-71-9,一氧化碳
229,103-71-9,氮氧化物
230,103-71-9,氰化氢
231,103-72-0,一氧化碳
232,103-72-0,氮氧化物
233,103-72-0,氧化硫
234,103-80-0,一氧化碳
235,103-80-0,氯化氢
236,103-80-0,光气
237,103-83-3,一氧化碳
238,103-83-3,二氧化碳
239,103-83-3,氮氧化物。
240,103-84-4,一氧化碳
241,103-84-4,二氧化碳
242,103-84-4,氮氧化物。
243,1031-47-6,一氧化碳
244,1031-47-6,二氧化碳
245,1031-47-6,氮氧化物
246,1031-47-6,氧化磷。
247,10311-84-9,一氧化碳
248,10311-84-9,二氧化碳
249,10311-84-9,氮氧化物
250,10311-84-9,氧化硫
251,10311-84-9,氧化磷。
252,10325-94-7,无意义
253,10326-21-3,无意义
254,10326-24-6,砷
255,10326-24-6,氧化锌。
256,10361-37-2,无意义
257,10361-44-1,无意义
258,10361-95-2,氯化氢
259,10361-95-2,氧化锌。
260,10377-60-3,无意义
261,104-51-8,一氧化碳
262,104-75-6,一氧化碳
263,104-75-6,氮氧化物
264,104-78-9,一氧化碳
265,104-78-9,二氧化碳
266,104-78-9,氮氧化物。
267,104-83-6,一氧化碳
268,104-83-6,二氧化碳
269,104-83-6,氯化氢。
270,104-85-8,一氧化碳
271,104-85-8,二氧化碳
272,104-85-8,氮氧化物
273,104-85-8,氰化物。
274,104-90-5,一氧化碳
275,104-90-5,二氧化碳
276,104-90-5,氮氧化物。
277,104-92-7,一氧化碳
278,104-92-7,溴化氢
279,104-94-9,一氧化碳
280,104-94-9,二氧化碳
281,104-94-9,氧化氮。
282,10421-48-4,无意义
283,10450-60-9,无意义
284,105-05-5,一氧化碳
285,105-29-3,一氧化碳
286,105-29-3,二氧化碳。
287,105-30-6,一氧化碳
288,105-30-6,二氧化碳。
289,105-36-2,一氧化碳
290,105-36-2,溴化氢
291,105-37-3,一氧化碳
292,105-39-5,一氧化碳
293,105-39-5,氯化氢
294,105-46-4,一氧化碳
295,105-54-4,一氧化碳
296,105-56-6,一氧化碳
297,105-56-6,氮氧化物
298,105-57-7,一氧化碳
299,105-58-8,一氧化碳
300,105-64-6,一氧化碳
301,105-64-6,二氧化碳。
302,105-66-8,一氧化碳
303,105-67-9,一氧化碳
