,CAS,眼睛接触
0,100-00-5,提起眼睑，用流动清水或生理盐水冲洗
1,100-00-5,就医
2,100-01-6,提起眼睑，用流动清水或生理盐水冲洗
3,100-01-6,如有不适感，就医
4,100-02-7,提起眼睑，用流动清水或生理盐水冲洗
5,100-02-7,如有不适感，就医
6,100-07-2,提起眼睑，用流动清水或生理盐水冲洗
7,100-07-2,就医
8,100-11-8,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
9,100-11-8,如有不适感，就医
10,100-12-9,提起眼睑，用流动清水或生理盐水冲洗
11,100-12-9,如有不适感，就医
12,100-14-1,提起眼睑，用流动清水或生理盐水冲洗
13,100-14-1,就医
14,100-16-3,提起眼睑，用流动清水或生理盐水冲洗
15,100-16-3,如有不适感，就医
16,100-17-4,提起眼睑，用流动清水或生理盐水冲洗
17,100-17-4,如有不适感，就医
18,100-20-9,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
19,100-20-9,如有不适感，就医
20,100-25-4,提起眼睑，用流动清水或生理盐水冲洗
21,100-25-4,如有不适感，就医
22,100-28-7,提起眼睑，用流动清水或生理盐水冲洗
23,100-28-7,就医
24,100-29-8,提起眼睑，用流动清水或生理盐水冲洗
25,100-29-8,如有不适感，就医
26,100-35-6,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
27,100-35-6,就医
28,100-36-7,提起眼睑，用流动清水或生理盐水冲洗
29,100-36-7,就医
30,100-37-8,提起眼睑，用流动清水或生理盐水冲洗
31,100-37-8,如有不适感，就医
32,100-39-0,提起眼睑，用流动清水或生理盐水冲洗
33,100-39-0,如有不适感，就医
34,100-40-3,提起眼睑，用流动清水或生理盐水冲洗
35,100-40-3,就医
36,100-41-4,提起眼睑，用流动清水或生理盐水冲洗
37,100-41-4,如有不适感，就医
38,100-42-5,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
39,100-42-5,如有不适感，就医
40,100-43-6,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
41,100-43-6,就医
42,100-44-7,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
43,100-44-7,如有不适感，就医
44,100-46-9,提起眼睑，用流动清水或生理盐水冲洗
45,100-46-9,就医
46,100-47-0,提起眼睑，用流动清水或生理盐水冲洗
47,100-47-0,如有不适感，就医
48,100-50-5,提起眼睑，用流动清水或生理盐水冲洗
49,100-50-5,就医
50,100-53-8,提起眼睑，用流动清水或生理盐水冲洗
51,100-53-8,如有不适感，就医
52,100-56-1,提起眼睑，用流动清水或生理盐水冲洗
53,100-56-1,就医
54,100-61-8,提起眼睑，用流动清水或生理盐水冲洗
55,100-61-8,如有不适感，就医
56,100-63-0,提起眼睑，用流动清水或生理盐水冲洗
57,100-63-0,如有不适感，就医
58,100-66-3,提起眼睑，用流动清水或生理盐水冲洗
59,100-66-3,如有不适感，就医
60,100-69-6,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
61,100-69-6,就医
62,100-71-0,提起眼睑，用流动清水或生理盐水冲洗
63,100-71-0,就医
64,100-73-2,提起眼睑，用流动清水或生理盐水冲洗
65,100-73-2,就医
66,100-74-3,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
67,100-74-3,就医
68,100-97-0,提起眼睑，用流动清水或生理盐水冲洗
69,100-97-0,如有不适感，就医
70,100-99-2,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
71,100-99-2,如有不适感，就医
72,1002-16-0,提起眼睑，用流动清水或生理盐水冲洗
73,1002-16-0,如有不适感，就医
74,10022-31-8,提起眼睑，用流动清水或生理盐水冲洗
75,10022-31-8,如有不适感，就医
76,10024-97-2,不会通过该途径接触
77,10025-68-0,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
78,10025-68-0,如有不适感，就医
79,10025-78-2,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
80,10025-78-2,如有不适感，就医
81,10025-87-3,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
82,10025-87-3,如有不适感，就医
83,10025-91-9,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
84,10025-91-9,如有不适感，就医
85,10026-03-6,提起眼睑，用流动清水或生理盐水冲洗
86,10026-03-6,就医
87,10026-04-7,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
88,10026-04-7,如有不适感，就医
89,10026-11-6,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
90,10026-11-6,如有不适感，就医
91,10026-12-7,提起眼睑，用流动清水或生理盐水冲洗
92,10026-12-7,就医
93,10026-13-8,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
94,10026-13-8,如有不适感，就医
95,10026-17-2,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
96,10026-17-2,就医
97,10026-18-3,拉开眼睑，用流动清水冲洗15min；就医
98,1003-03-8,提起眼睑，用流动清水或生理盐水冲洗
99,1003-03-8,就医
100,10031-13-7,提起眼睑，用流动清水或生理盐水冲洗
101,10031-13-7,就医
102,10031-18-2,提起眼睑，用流动清水或生理盐水冲洗
103,10031-18-2,如有不适感，就医
104,10031-43-3,提起眼睑，用流动清水或生理盐水冲洗
105,10031-43-3,就医
106,10034-81-8,提起眼睑，用流动清水或生理盐水冲洗
107,10034-81-8,如有不适感，就医
108,10034-85-2,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
109,10034-85-2,如有不适感，就医
110,10035-10-6,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
111,10035-10-6,如有不适感，就医
112,10038-98-9,提起眼睑，用流动清水或生理盐水冲洗
113,10038-98-9,如有不适感，就医
114,10039-54-0,提起眼睑，用流动清水或生理盐水冲洗
115,10039-54-0,就医
116,10042-76-9,提起眼睑，用流动清水或生理盐水冲洗
117,10042-76-9,就医
118,10043-35-3,提起眼睑，用流动清水或生理盐水冲洗
119,10043-35-3,就医
120,10045-94-0,提起眼睑，用流动清水或生理盐水冲洗
121,10045-94-0,如有不适感，就医
122,10049-04-4,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
123,10049-04-4,就医
124,10099-59-9,提起眼睑，用流动清水或生理盐水冲洗
125,10099-59-9,如有不适感，就医
126,10099-74-8,提起眼睑，用流动清水或生理盐水冲洗
127,10099-74-8,如有不适感，就医
128,10099-76-0,提起眼睑，用流动清水或生理盐水冲洗
129,10099-76-0,就医
130,101-02-0,提起眼睑，用流动清水或生理盐水冲洗
131,101-02-0,就医
132,101-14-4,"First check the victim for contact lenses and remove if present. Flush victim's eyes with water or normal saline solution for 20 to 30 minutes while simultaneously calling a hospital or poison control center. Do not put any ointments, oils, or medication in the victim's eyes without specific instructions from a physician. IMMEDIATELY transport the victim after flushing eyes to a hospital even if no symptoms (such as redness or irritation) develop."
133,101-25-7,提起眼睑，用流动清水或生理盐水冲洗
134,101-25-7,如有不适感，就医
135,101-27-9,提起眼睑，用流动清水或生理盐水冲洗
136,101-27-9,就医
137,101-37-1,提起眼睑，用流动清水或生理盐水冲洗
138,101-37-1,就医
139,101-54-2,提起眼睑，用流动清水或生理盐水冲洗
140,101-54-2,就医
141,101-68-8,提起眼睑，用流动清水或生理盐水冲洗
142,101-68-8,就医
143,101-77-9,提起眼睑，用流动清水或生理盐水冲洗
144,101-77-9,就医
145,101-82-6,提起眼睑，用流动清水或生理盐水冲洗
146,101-82-6,就医
147,101-83-7,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
148,101-83-7,如有不适感，就医
149,10101-50-5,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
150,10101-50-5,如有不适感，就医
151,10102-18-8,提起眼睑，用流动清水或生理盐水冲洗
152,10102-18-8,就医
153,10102-20-2,提起眼睑，用流动清水或生理盐水冲洗
154,10102-20-2,就医
155,10102-43-9,不会通过该途径接触
156,10102-45-1,提起眼睑，用流动清水或生理盐水冲洗
157,10102-45-1,就医
158,10102-49-5,提起眼睑，用流动清水或生理盐水冲洗
159,10102-49-5,就医
160,10103-50-1,提起眼睑，用流动清水或生理盐水冲洗
161,10103-50-1,就医
162,10103-61-4,张开 眼 睛 在 流 水 下 冲 洗 数 分 钟. 然后 谘 询 医 生
163,10108-64-2,提起眼睑，用流动清水或生理盐水冲洗
164,10108-64-2,如有不适感，就医
165,10108-73-3,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
166,10108-73-3,如有不适感，就医
167,10112-91-1,提起眼睑，用流动清水或生理盐水冲洗
168,10112-91-1,就医
169,10118-76-0,提起眼睑，用流动清水或生理盐水冲洗
170,10118-76-0,如有不适感，就医
171,10124-36-4,立即翻开上下眼睑，用流动清水冲洗15min；就医
172,10124-37-5,提起眼睑，用流动清水或生理盐水冲洗
173,10124-37-5,就医
174,10124-43-3,提起眼睑，用流动清水或生理盐水冲洗
175,10124-43-3,就医
176,10124-48-8,提起眼睑，用流动清水或生理盐水冲洗
177,10124-48-8,就医
178,10124-50-2,提起眼睑，用流动清水或生理盐水冲洗
179,10124-50-2,如有不适感，就医
180,10137-69-6,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
181,10137-69-6,就医
182,10138-60-0,提起眼睑，用流动清水或生理盐水冲洗至少15分钟
183,10138-60-0,就医
184,10139-58-9,提起眼睑，用流动清水或生理盐水冲洗
185,10139-58-9,就医
186,10141-05-6,提起眼睑，用流动清水或生理盐水冲洗
187,10141-05-6,如有不适感，就医
188,10192-29-7,提起眼睑，用流动清水或生理盐水冲洗
189,10192-29-7,如有不适感，就医
190,102-27-2,提起眼睑，用流动清水或生理盐水冲洗
191,102-27-2,就医
192,102-36-3,提起眼睑，用流动清水或生理盐水冲洗
193,102-36-3,就医
194,102-47-6,提起眼睑，用流动清水或生理盐水冲洗
195,102-47-6,就医
196,102-69-2,提起眼睑，用流动清水或生理盐水冲洗
197,102-69-2,如有不适感，就医
198,102-70-5,提起眼睑，用流动清水或生理盐水冲洗
199,102-70-5,就医
200,102-81-8,立即翻开上下眼睑，用大量流动清水彻底冲洗；就医
201,102-82-9,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
202,102-82-9,如有不适感，就医
203,10217-52-4,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
204,10217-52-4,如有不适感，就医
205,10241-05-1,提起眼睑，用流动清水或生理盐水冲洗
206,10241-05-1,如有不适感，就医
207,10265-92-6,提起眼睑，用流动清水或生理盐水冲洗
208,10265-92-6,如有不适感，就医
209,10290-12-7,提起眼睑，用流动清水或生理盐水冲洗
210,10290-12-7,就医
211,10294-33-4,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
212,10294-33-4,如有不适感，就医
213,10294-34-5,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
214,10294-34-5,如有不适感，就医
215,10294-56-1,Get medical aid immediately. Do NOT allow victim to rub or keep eyes closed. Extensive irrigation is required (at least 30 minutes).
216,103-65-1,提起眼睑，用流动清水或生理盐水冲洗
217,103-65-1,如有不适感，就医
218,103-69-5,提起眼睑，用流动清水或生理盐水冲洗
219,103-69-5,如有不适感，就医
220,103-71-9,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
221,103-71-9,如有不适感，就医
222,103-72-0,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
223,103-72-0,如有不适感，就医
224,103-80-0,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
225,103-80-0,如有不适感，就医
226,103-83-3,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
227,103-83-3,就医
228,103-84-4,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
229,103-84-4,就医
230,1031-47-6,提起眼睑，用流动清水或生理盐水冲洗
231,1031-47-6,就医
232,10311-84-9,提起眼睑，用流动清水或生理盐水冲洗
233,10311-84-9,就医
234,10325-94-7,提起眼睑，用流动清水或生理盐水冲洗
235,10325-94-7,如有不适感，就医
236,10326-21-3,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
237,10326-21-3,如有不适感，就医
238,10326-24-6,提起眼睑，用流动清水或生理盐水冲洗
239,10326-24-6,就医
240,10361-37-2,提起眼睑，用流动清水或生理盐水冲洗
241,10361-37-2,如有不适感，就医
242,10361-44-1,提起眼睑，用流动清水或生理盐水冲洗
243,10361-44-1,如有不适感，就医
244,10361-95-2,提起眼睑，用流动清水或生理盐水冲洗
245,10361-95-2,就医
246,10377-60-3,提起眼睑，用流动清水或生理盐水冲洗
247,10377-60-3,如有不适感，就医
248,104-51-8,提起眼睑，用流动清水或生理盐水冲洗
249,104-51-8,如有不适感，就医
250,104-75-6,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
251,104-75-6,如有不适感，就医
252,104-78-9,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
253,104-78-9,就医
254,104-83-6,提起眼睑，用流动清水或生理盐水冲洗
255,104-83-6,就医
256,104-85-8,提起眼睑，用流动清水或生理盐水冲洗
257,104-85-8,就医
258,104-90-5,提起眼睑，用流动清水或生理盐水冲洗
259,104-90-5,就医
260,104-91-6,提起眼睑，用流动清水或生理盐水冲洗
261,104-91-6,就医
262,104-92-7,提起眼睑，用流动清水或生理盐水冲洗
263,104-92-7,如有不适感，就医
264,104-94-9,提起眼睑，用流动清水或生理盐水冲洗
265,104-94-9,就医
266,10421-48-4,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
267,10421-48-4,如有不适感，就医
268,10450-60-9,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
269,10450-60-9,如有不适感，就医
270,105-05-5,提起眼睑，用流动清水或生理盐水冲洗
271,105-05-5,如有不适感，就医
