,CAS,应急行动
0,100-00-5,隔离泄漏污染区，限制出入
1,100-00-5,切断火源
2,100-00-5,建议应急处理人员戴防尘面具（全面罩），穿防毒服
3,100-00-5,用洁净的铲子收集于干燥、洁净、有盖的容器中，转移至安全场所
4,100-00-5,若大量泄漏，收集回收或运至废物处理场所处置
5,100-01-6,隔离泄漏污染区，限制出入
6,100-01-6,消除所有点火源
7,100-01-6,建议应急处理人员戴防尘口罩，穿防毒服，戴橡胶手套
8,100-01-6,穿上适当的防护服前严禁接触破裂的容器和泄漏物
9,100-01-6,尽可能切断泄漏源
10,100-01-6,用塑料布覆盖泄漏物，减少飞散
11,100-01-6,勿使水进入包装容器内
12,100-01-6,用洁净的铲子收集泄漏物，置于干净、干燥、盖子较松的容器中，将容器移离泄漏区
13,100-02-7,隔离泄漏污染区，限制出入
14,100-02-7,消除所有点火源
15,100-02-7,建议应急处理人员戴防尘口罩，穿防毒服，戴橡胶手套
16,100-02-7,穿上适当的防护服前严禁接触破裂的容器和泄漏物
17,100-02-7,尽可能切断泄漏源
18,100-02-7,用塑料布覆盖泄漏物，减少飞散
19,100-02-7,勿使水进入包装容器内
20,100-02-7,用洁净的铲子收集泄漏物，置于干净、干燥、盖子较松的容器中，将容器移离泄漏区
21,100-07-2,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
22,100-07-2,切断火源
23,100-07-2,建议应急处理人员戴自给正压式呼吸器，穿防酸碱工作服
24,100-07-2,尽可能切断泄漏源
25,100-07-2,防止流入下水道、排洪沟等限制性空间
26,100-07-2,小量泄漏：用砂土、蛭石或其它惰性材料吸收
27,100-07-2,也可以用不燃性分散剂制成的乳液刷洗，洗液稀释后放入废水系统
28,100-07-2,大量泄漏：构筑围堤或挖坑收容
29,100-07-2,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
30,100-11-8,隔离泄漏污染区，限制出入
31,100-11-8,消除所有点火源
32,100-11-8,建议应急处理人员戴防尘口罩，穿防毒服，戴橡胶手套
33,100-11-8,穿上适当的防护服前严禁接触破裂的容器和泄漏物
34,100-11-8,尽可能切断泄漏源
35,100-11-8,用塑料布覆盖泄漏物，减少飞散
36,100-11-8,勿使水进入包装容器内
37,100-11-8,用洁净的铲子收集泄漏物，置于干净、干燥、盖子较松的容器中，将容器移离泄漏区
38,100-12-9,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
39,100-12-9,消除所有点火源
40,100-12-9,建议应急处理人员戴正压自给式呼吸器，穿防毒物渗透工作服，戴橡胶耐油手套
41,100-12-9,尽可能切断泄漏源
42,100-12-9,防止泄漏物进入水体、下水道、地下室或限制性空间
43,100-12-9,小量泄漏：用干燥的砂土或其他不燃材料吸收或覆盖，收集于容器中
44,100-12-9,大量泄漏：构筑围堤或挖坑收容
45,100-12-9,用泵转移至槽车或专用收集器内
46,100-14-1,隔离泄漏污染区，限制出入
47,100-14-1,切断火源
48,100-14-1,建议应急处理人员戴防尘面具（全面罩），穿防毒服
49,100-14-1,用砂土、干燥石灰或苏打灰混合
50,100-14-1,收集于干燥、洁净、有盖的容器中，转移至安全场所
51,100-14-1,若大量泄漏，收集回收或运至废物处理场所处置
52,100-16-3,隔离泄漏污染区，限制出入
53,100-16-3,消除所有点火源
54,100-16-3,建议应急处理人员戴防尘口罩，穿防毒、防静电服，戴橡胶手套
55,100-16-3,穿上适当的防护服前严禁接触破裂的容器和泄漏物
56,100-16-3,尽可能切断泄漏源
57,100-16-3,用塑料布覆盖泄漏物，减少飞散
58,100-16-3,勿使水进入包装容器内
59,100-16-3,用洁净的铲子收集泄漏物，置于干净、干燥、盖子较松的容器中，将容器移离泄漏区
60,100-17-4,隔离泄漏污染区，限制出入
61,100-17-4,建议应急处理人员戴防尘口罩，穿防毒服，戴橡胶手套
62,100-17-4,穿上适当的防护服前严禁接触破裂的容器和泄漏物
63,100-17-4,尽可能切断泄漏源
64,100-17-4,用塑料布覆盖泄漏物，减少飞散
65,100-17-4,勿使水进入包装容器内
66,100-17-4,用洁净的铲子收集泄漏物，置于干净、干燥、盖子较松的容器中，将容器移离泄漏区
67,100-20-9,隔离泄漏污染区，限制出入
68,100-20-9,消除所有点火源
69,100-20-9,建议应急处理人员戴防尘口罩，穿防酸碱服，戴橡胶耐酸碱手套
70,100-20-9,穿上适当的防护服前严禁接触破裂的容器和泄漏物
71,100-20-9,尽可能切断泄漏源
72,100-20-9,用塑料布覆盖泄漏物，减少飞散
73,100-20-9,勿使水进入包装容器内
74,100-20-9,用洁净的铲子收集泄漏物，置于干净、干燥、盖子较松的容器中，将容器移离泄漏区
75,100-25-4,隔离泄漏污染区，限制出入
76,100-25-4,建议应急处理人员戴防尘口罩，穿防毒服，戴橡胶手套
77,100-25-4,穿上适当的防护服前严禁接触破裂的容器和泄漏物
78,100-25-4,尽可能切断泄漏源
79,100-25-4,用塑料布覆盖泄漏物，减少飞散
80,100-25-4,勿使水进入包装容器内
81,100-25-4,用洁净的铲子收集泄漏物，置于干净、干燥、盖子较松的容器中，将容器移离泄漏区
82,100-28-7,隔离泄漏污染区，限制出入
83,100-28-7,切断火源
84,100-28-7,建议应急处理人员戴防尘面具（全面罩），穿防毒服
