,CAS
0,99-59-2
1,10265-92-6
2,99-51-4
3,66-76-2
4,148-82-3
5,608-27-5
6,62-73-7
7,8065-48-3
8,94-70-2
9,591-20-8
10,372-09-8
11,5984-94-1
12,90-04-0
13,4261-68-1
14,22128-62-7
15,89-92-9
16,7790-84-3
17,75032-87-0
18,41052-75-9
19,118-74-1
20,485-31-4
21,111812-58-9
22,7782-49-2
23,481-39-0
24,95-80-7
25,631-60-7
26,10108-64-2
27,1910-42-5
28,2231-57-4
29,696-28-6
30,2921-88-2
31,78-00-2
32,5234-68-4
33,26177-43-5
34,89-61-2
35,618-62-2
36,5798-79-8
37,619-72-7
38,580-17-6
39,13939-06-5
40,3254-63-5
41,2303-17-5
42,6837-24-7
43,446-35-5
44,86-87-3
45,1805-32-9
46,64248-62-0
47,24279-91-2
48,108-95-2
49,2042-37-7
50,7790-79-6
51,1421-68-7
52,121-75-5
53,100-17-4
54,60-51-5
55,88-06-2
56,603-36-1
57,900-95-8
58,127-18-4
59,91-94-1
60,7787-62-4
61,3862-73-5
62,961-68-2
63,513-77-9
64,124-12-9
65,95-79-4
66,2588-03-6
67,1476-11-5
68,119-33-5
69,556-64-9
70,583-58-4
71,576-24-9
72,551-06-4
73,552-46-5
74,6280-87-1
75,96-18-4
76,2052-15-5
77,108-69-0
78,636-30-6
79,17109-49-8
80,619-65-8
81,122-10-1
82,446-36-6
83,80-12-6
84,1465-25-4
85,7790-91-2
86,15271-41-7
87,62-59-9
88,13400-13-0
89,100-54-9
90,22013-33-8
91,7446-07-3
92,628-831-1
93,7789-19-7
94,32986-56-4
95,4733-50-0
96,1438-16-0
97,7693-46-1
98,24964-64-5
99,5446-18-4
100,39156-41-7
101,2778-04-3
102,139-40-2
103,52-68-6
104,95-88-5
105,39920-37-1
106,452-71-1
107,712-48-1
108,526-75-0
109,2034-22-2
110,300-08-3
111,50-78-2
112,532-27-4
113,64-67-5
114,17185-29-4
115,50709-36-9
116,15307-79-6
117,104-47-2
118,85-00-7
119,462-08-8
120,70-34-8
121,50-76-0
122,100-56-1
123,25311-71-1
124,5120-23-0
125,622-75-3
126,83-26-1
127,93-58-3
128,86-53-3
129,101-02-0
130,2142-68-9
131,68085-85-8
132,12172-73-5
133,31876-38-7
134,634-66-2
135,75-99-0
136,53558-25-1
137,465-73-6
138,50-07-7
139,98-59-9
140,541-73-1
141,106-48-9
142,120068-37-3
143,529-19-1
144,98-29-3
145,98-54-4
146,87820-88-0
147,154-42-7
148,1345-04-6
149,5292-43-3
150,95-48-7
151,3173-72-6
152,75-47-8
153,94-81-5
154,7782-82-3
155,95-85-2
156,609-73-4
157,106-54-7
158,542-76-7
159,606-22-4
160,3153-36-4
161,13463-39-3
162,108-68-9
163,13597-46-1
164,6443-72-7
165,101-27-9
166,625-59-2
167,1603-41-4
168,1570-64-5
169,404-24-0
170,22224-92-6
171,55-68-5
172,53164-05-9
173,82-66-6
174,866-55-7
175,626-17-5
176,115-29-7
177,78-27-3
178,944-22-9
179,623-00-7
180,1031-47-6
181,14268-66-7
182,1996-41-4
183,533-98-2
184,638-41-5
185,35223-80-4
186,60-57-1
187,99-57-0
188,767-00-0
189,62-75-9
190,106-93-4
191,600-00-0
192,1066-33-7
193,7783-64-4
