,CAS
0,109-87-5
1,627-19-0
2,75-15-0
3,109-99-9
4,513-35-9
5,110-82-7
6,109-67-1
7,75-83-2
8,8006-61-9
9,592-45-0
10,540-54-5
11,75-66-1
12,109-89-7
13,107-83-5
14,111-43-3
15,107-31-3
16,109-94-4
17,105-57-7
18,75-29-6
19,107-10-8
20,287-92-3
21,107-02-8
22,142-29-0
23,503-17-3
24,628-32-0
25,67-64-1
26,75-18-3
27,108-20-3
28,78-84-2
29,75-76-3
30,109-95-5
31,109-93-3
32,563-46-2
33,107-05-1
34,592-41-6
35,75-07-0
36,78-79-5
37,109-68-2
38,75-31-0
39,110-00-9
40,60-29-7
41,107-11-9
42,126-99-8
43,592-42-7
44,78-78-4
45,107-03-9
46,110-54-3
47,557-98-2
48,109-66-0
49,75-56-9
