,CAS
0,142-28-9
1,302-01-2
2,638-11-9
3,106-70-7
4,105-05-5
5,122-51-0
6,638-49-3
7,110-49-6
8,100-42-5
9,123-66-0
10,8006-64-2
11,123-92-2
12,544-10-5
13,7789-92-6
14,629-33-4
15,108-47-4
16,105-54-4
17,124-13-0
18,100-66-3
19,108-48-5
20,123-63-7
21,98-01-1
22,1002-16-0
23,110-43-0
24,542-75-6
25,589-38-8
26,103-65-1
27,96-41-3
28,98-82-8
29,78-83-1
30,109-21-7
31,95-47-6
32,6125-21-9
33,539-82-2
34,108-03-2
35,110-69-0
36,1335-76-8
37,108-01-0
38,623-96-1
39,110-45-2
40,95-63-6
41,135-98-8
42,544-01-4
43,68-12-2
44,110-96-3
45,110-80-5
46,502-42-1
47,66-25-1
48,109-55-7
49,142-96-1
50,110-91-8
51,78-10-4
52,628-17-1
53,75-97-8
54,628-63-7
55,1678-91-7
56,123-51-3
57,127-91-3
58,110-56-5
59,292-64-8
60,91-17-8
61,79-31-2
62,120-92-3
63,108-86-1
64,542-69-8
65,106-35-4
66,626-93-7
67,105-68-0
68,79-24-3
69,674-82-8
70,80-56-8
71,108-99-6
72,628-76-2
73,106-63-8
74,6032-29-7
75,97-64-3
76,1569-69-3
77,547-64-8
78,540-18-1
79,71-41-0
80,138-86-3
81,872-05-9
82,1678-93-9
83,97-86-9
84,627-05-4
85,71-36-3
86,124-18-5
87,108-90-7
88,108-16-7
89,106-42-3
90,75-89-8
91,106-94-5
92,135-01-3
93,106-37-6
94,102-69-2
95,78-92-2
96,97-85-8
97,97-72-3
98,526-73-8
99,141-32-2
100,75-52-5
101,109-06-8
102,141-93-5
103,108-38-3
104,111-84-2
105,644-49-5
106,111-71-7
107,3179-63-3
108,111-47-7
109,111-25-1
110,624-54-4
111,2040-95-1
112,124-11-8
113,111-15-9
114,622-97-9
115,105-58-8
116,79-46-9
117,104-51-8
118,590-01-2
119,563-54-2
120,105-66-8
121,536-74-3
122,108-94-1
123,97-88-1
124,109-86-4
125,110-53-2
126,111-26-2
127,108-64-5
128,591-22-0
129,100-37-8
130,106-43-4
131,8008-20-6
