,CAS
0,16961-83-4
1,543-20-4
2,10035-10-6
3,103-80-0
4,7664-38-2
5,76-05-1
6,7647-01-0
7,10026-07-0
8,10038-98-9
9,7789-67-5
10,64-69-7
11,6303-21-5
12,7791-25-5
13,79-41-4
14,123-62-6
15,7790-94-5
16,7789-21-1
17,79-40-9
18,13598-36-2
19,106-31-0
20,7789-60-8
21,108-24-7
22,7550-45-0
23,7789-61-9
24,79-10-7
25,85-44-9
26,10294-33-4
27,87-56-9
28,79-44-7
29,79-09-4
30,7727-15-3
31,598-78-7
32,100-20-9
33,10034-85-2
34,7790-47-8
35,64-19-7
36,7782-99-2
37,7783-08-6
38,7646-78-8
39,52583-42-3
40,107-92-6
41,7647-18-9
42,1314-56-3
43,79-43-6
44,7664-93-9
45,64013-16-7
46,7705-08-0
47,98-88-4
48,10545-99-0
49,7726-95-6
50,124-63-0
51,10026-04-7
52,541-88-8
53,13465-08-2
54,79-37-8
55,7791-23-3
56,8014-95-7
57,79-04-9
58,79-08-3
59,7719-09-7
60,7789-69-7
61,3982-91-0
62,7446-70-0
63,8017-16-1
64,5329-14-6
65,107-94-8
66,14977-61-8
67,64-18-6
68,10025-87-3
69,10241-05-1
70,407-25-0
71,76-03-9
72,10026-11-6
73,10025-91-9
74,98-13-5
75,149-74-6
76,68-11-1
77,10026-13-8
78,75-96-7
79,98-09-9
80,79-11-8
81,7738-94-5
82,16872-11-0
83,7719-12-2
84,7664-39-3
85,7697-37-2
86,865-44-1
