,CAS
0,7758-09-0
1,10192-29-7
2,10031-43-3
3,10466-65-6
4,1314-15-4
5,13637-76-8
6,1499-21-4
7,2893-78-9
8,10567-69-8
9,7782-61-8
10,7790-69-4
11,20694-39-7
12,10108-73-3
13,15630-89-4
14,13780-06-8
15,7758-19-2
16,10486-00-7
17,7790-28-5
18,7727-54-0
19,10377-60-3
20,87-90-1
21,10489-46-0
22,506-93-4
23,13455-24-8
24,13746-89-9
25,13446-18-9
26,10118-76-0
27,1301-96-8
28,7784-27-2
29,7782-44-7
30,1304-29-6
31,1335-26-8
32,13597-99-4
33,57260-67-0
34,7447-40-7
35,124-43-6
36,15878-77-0
37,25659-31-8
38,7775-27-1
39,7783-93-9
40,12029-98-0
41,10124-37-5
42,13470-01-4
43,7601-89-0
44,1314-22-3
45,20039-37-6
46,10450-60-9
47,13473-90-0
48,7790-98-9
49,1313-60-6
50,7779-88-6
51,3811-04-9
52,509-14-8
53,10042-76-9
54,26299-14-9
55,10377-66-9
56,12158-75-7
57,1923-70-2
58,12036-10-1
59,17014-71-0
60,7727-21-1
61,7778-54-3
62,93-97-0
63,63024-77-1
64,7681-55-2
65,345-92-6
66,65201-77-6
67,13465-95-7
68,7783-97-3
69,7601-90-3
70,77-48-5
71,7789-18-6
72,7758-01-2
73,1305-79-9
74,13453-78-6
75,7775-09-9
76,7789-12-0
77,10277-43-7
78,7783-89-3
79,7790-21-8
80,13967-90-3
81,6484-52-2
82,7778-74-7
83,7790-37-6
84,13446-09-8
85,10361-44-1
86,14519-18-7
87,34018-28-5
88,13598-65-7
89,7722-84-1
90,7631-99-4
91,10102-05-3
92,10421-48-4
93,13477-00-4
94,13126-12-0
95,13765-03-2
96,10361-46-3
97,1313-97-9
98,12030-88-5
99,13138-45-9
100,13477-34-4
101,88-65-3
102,7782-68-5
103,10308-82-4
104,7632-00-0
105,7761-88-8
106,7632-04-4
107,10141-05-6
108,10026-22-9
109,1333-82-0
110,10588-01-9
111,14518-94-6
112,7790-81-0
113,7722-64-7
114,10022-31-8
115,10099-74-8
116,7789-36-8
117,1314-18-7
118,10325-94-7
119,10099-59-9
120,7789-38-0
121,7789-09-5
122,13477-36-6
123,7778-50-9
124,7789-80-2
125,14519-07-4
126,7757-79-1
127,7791-03-9
128,10326-21-3
129,7758-05-6
130,10101-50-5
131,865-44-1
132,10034-81-8
133,13478-00-7
