,CAS
0,420-46-2
1,591-93-5
2,1975-4-7
3,68476-85-7
4,74-86-2
5,115-11-7
6,74-85-1
7,353-36-6
8,74-99-7
9,75-01-4
10,624-91-9
11,74-89-5
12,74-93-1
13,75-19-4
14,540-67-0
15,106-97-8
16,75-00-3
17,116-14-3
18,74-98-6
19,75-38-7
20,19287-45-7
21,107-25-5
22,630-08-0
23,75-02-5
24,74-82-8
25,75-28-5
26,75-68-3
27,106-99-0
28,593-53-3
29,75-21-8
30,504-60-9
31,115-07-1
32,8006-14-2
33,463-49-0
34,75-50-3
35,1333-74-0
36,124-40-3
37,107-00-6
38,593-60-2
39,107-01-7
40,106-98-9
41,75-37-6
42,75-04-7
43,993-00-0
44,74-84-0
45,115-10-6
46,7783-06-4
47,463-82-1
