,CAS
0,7440-09-7
1,11135-81-2
2,7646-69-7
3,13762-51-1
4,1314-84-7
5,1314-80-3
6,7439-93-2
7,7647-69-7
8,7440-46-2
9,12057-74-8
10,8049-17-0
11,7440-39-3
12,75-20-7
13,1299-86-1
14,12136-45-7
15,10025-78-2
16,1305-99-3
17,7440-17-7
18,56553-60-7
19,156-62-7
20,7789-78-8
21,13770-96-2
22,7782-89-0
23,20859-73-8
24,7440-23-5
25,68848-64-6
26,1789-58-8
27,22722-98-1
28,7693-26-7
29,7429-90-5
30,43064-96-6
31,7440-66-6
32,7440-24-6
33,25895-60-7
34,7439-95-4
35,16940-66-2
36,676-58-4
37,16853-85-3
38,13477-09-3
39,75-54-7
