,CAS
0,25168-26-7
1,77-76-9
2,592-13-2
3,108-88-3
4,75-77-4
5,592-76-7
6,616-38-6
7,97-63-2
8,543-67-9
9,9003-35-4
10,94-82-6
11,110-19-0
12,2008-39-1
13,590-73-8
14,75-26-3
15,94-80-4
16,105-37-3
17,94-75-7
18,142-84-7
19,542-92-7
20,513-44-0
21,372-18-9
22,100-41-4
23,109-73-9
24,60-34-4
25,79-22-1
26,352-93-2
27,107-84-6
28,107-18-6
29,558-17-8
30,4170-30-3
31,352-32-9
32,628-71-7
33,3188-13-4
34,75-35-4
35,627-13-4
36,107-85-7
37,590-66-9
38,107-46-0
39,8032-32-4
40,628-28-4
41,107-30-2
42,1640-89-7
43,507-09-5
44,564-02-3
45,107-06-2
46,109-65-9
47,646-06-0
48,111-65-9
49,78-62-6
50,71-43-2
51,75-36-5
52,96-14-0
53,542-55-2
54,541-42-4
55,141-78-6
56,2809-67-8
57,78-81-9
58,142-82-5
59,109-02-4
60,75-05-8
61,3522-94-9
62,110-01-0
63,592-77-8
64,50-00-0
65,694-05-3
66,67-56-1
67,110-58-7
68,124-41-4
69,2702-72-9
70,367-11-3
71,542-56-3
72,108-18-9
73,78-94-4
74,110-74-7
75,64-17-5
76,590-86-3
77,563-80-4
78,513-38-2
79,75-34-3
80,110-83-8
81,96-22-0
82,75-79-6
83,629-20-9
84,544-16-1
85,584-94-1
86,623-42-7
87,78-82-0
88,540-59-0
89,75-94-5
90,123-38-6
91,106-95-6
92,1713-15-1
93,2452-99-5
94,79-20-9
95,589-43-5
96,108-05-4
97,109-05-7
98,3087-37-4
99,766-09-6
100,57-14-7
101,109-60-4
102,115-21-9
103,591-76-4
104,546-68-9
105,107-08-4
106,67-63-0
107,123-86-4
108,108-21-4
109,94-11-1
110,541-31-1
111,71-23-8
112,565-59-3
113,1634-04-4
114,592-78-9
115,562-49-2
116,592-57-4
117,107-13-1
118,107-87-9
119,592-84-7
120,625-58-1
121,80-62-6
122,109-74-0
123,1928-44-5
124,540-84-1
125,101-10-0
126,108-09-8
127,928-49-4
128,140-88-5
129,108-08-7
130,24969-06-0
131,108-10-1
132,108-23-6
133,13472-08-7
134,75-78-5
135,110-68-9
136,123-91-1
137,629-05-0
138,8030-30-6
139,693-02-7
140,540-88-5
141,13952-84-6
142,5026-76-6
143,15232-76-5
144,628-41-1
145,931-87-3
146,110-71-4
147,75-65-0
148,93-65-2
149,96-37-7
150,105-46-4
151,107-12-0
152,110-46-3
153,541-41-3
154,111-66-0
155,111-67-1
156,75-64-9
157,78-93-3
158,110-18-9
159,106-88-7
160,624-83-9
161,565-75-3
162,109-79-5
163,540-42-1
164,3087-36-3
165,590-35-2
166,540-73-8
167,540-36-3
168,110-89-4
169,681-84-5
170,121-44-8
171,554-12-1
172,97-62-1
173,108-87-2
174,110-66-7
175,291-64-5
176,78-86-4
177,111-49-9
178,110-62-3
179,96-33-3
180,462-06-6
181,109-69-3
182,123-72-8
183,1712-64-7
